ParticipantNumber	Length	US	CS	onset	Answer	CorrectVariable	Mask1	Mask2	computerName	timeStamp
41	158	neu5.wav	MotivationCS33.png	110	MotivationCS33.png	1	180	0	methexp32	2016-05-13_12.14.12.228000
41	153	n11.wav	14.png	110	14.png	1	0	180	methexp32	2016-05-13_12.14.12.228000
41	152	p23.wav	20.png	110	20.png	1	180	90	methexp32	2016-05-13_12.14.12.228000
41	153	p45.wav	50.png	110	08.png	0	180	0	methexp32	2016-05-13_12.14.12.228000
41	158	neu6.wav	MotivationCS33.png	110	MotivationCS33.png	1	0	90	methexp32	2016-05-13_12.14.12.228000
41	250	n45.wav	04.png	150	04.png	1	180	0	methexp32	2016-05-13_12.14.12.228000
41	250	n50.wav	04.png	150	04.png	1	270	90	methexp32	2016-05-13_12.14.12.228000
41	158	neu1.wav	MotivationCS27.png	110	MotivationCS27.png	1	0	90	methexp32	2016-05-13_12.14.12.228000
41	250	n25.wav	22.png	110	22.png	1	270	180	methexp32	2016-05-13_12.14.12.228000
41	158	neu10.wav	MotivationCS33.png	110	MotivationCS33.png	1	0	90	methexp32	2016-05-13_12.14.12.228000
41	153	p53.wav	50.png	110	20.png	0	270	90	methexp32	2016-05-13_12.14.12.228000
41	250	n30.wav	22.png	110	22.png	1	180	90	methexp32	2016-05-13_12.14.12.228000
41	250	p45.wav	51.png	110	51.png	1	90	0	methexp32	2016-05-13_12.14.12.228000
41	153	p21.wav	50.png	110	50.png	1	180	270	methexp32	2016-05-13_12.14.12.228000
41	153	n50.wav	14.png	110	14.png	1	180	270	methexp32	2016-05-13_12.14.12.228000
41	158	neu1.wav	MotivationCS33.png	110	MotivationCS33.png	1	0	270	methexp32	2016-05-13_12.14.12.228000
41	152	p22.wav	20.png	110	14.png	0	270	90	methexp32	2016-05-13_12.14.12.228000
41	250	p89.wav	51.png	110	51.png	1	270	0	methexp32	2016-05-13_12.14.12.228000
41	152	n14.wav	08.png	110	20.png	0	270	90	methexp32	2016-05-13_12.14.12.228000
41	153	p23.wav	50.png	110	20.png	0	0	270	methexp32	2016-05-13_12.14.12.228000
41	250	p21.wav	03.png	150	03.png	1	180	270	methexp32	2016-05-13_12.14.12.228000
41	152	n46.wav	08.png	110	20.png	0	270	0	methexp32	2016-05-13_12.14.12.228000
41	153	n25.wav	14.png	110	14.png	1	90	270	methexp32	2016-05-13_12.14.12.228000
41	158	neu9.wav	MotivationCS33.png	110	MotivationCS33.png	1	0	90	methexp32	2016-05-13_12.14.12.228000
41	152	p52.wav	20.png	110	20.png	1	180	0	methexp32	2016-05-13_12.14.12.228000
41	250	n46.wav	22.png	110	22.png	1	0	180	methexp32	2016-05-13_12.14.12.228000
41	250	p21.wav	51.png	110	51.png	1	270	90	methexp32	2016-05-13_12.14.12.228000
41	153	p36.wav	50.png	110	14.png	0	0	90	methexp32	2016-05-13_12.14.12.228000
41	152	n30.wav	08.png	110	20.png	0	270	0	methexp32	2016-05-13_12.14.12.228000
41	250	n31.wav	04.png	150	04.png	1	90	270	methexp32	2016-05-13_12.14.12.228000
41	250	n46.wav	04.png	150	04.png	1	180	90	methexp32	2016-05-13_12.14.12.228000
41	250	p45.wav	03.png	150	03.png	1	270	90	methexp32	2016-05-13_12.14.12.228000
41	250	n50.wav	22.png	110	22.png	1	270	90	methexp32	2016-05-13_12.14.12.228000
41	152	n40.wav	08.png	110	20.png	0	90	0	methexp32	2016-05-13_12.14.12.228000
41	152	n13.wav	08.png	110	20.png	0	270	90	methexp32	2016-05-13_12.14.12.228000
41	153	p91.wav	50.png	110	20.png	0	270	180	methexp32	2016-05-13_12.14.12.228000
41	250	p53.wav	03.png	150	03.png	1	180	270	methexp32	2016-05-13_12.14.12.228000
41	152	p91.wav	20.png	110	20.png	1	0	180	methexp32	2016-05-13_12.14.12.228000
41	158	neu8.wav	MotivationCS33.png	110	MotivationCS33.png	1	0	90	methexp32	2016-05-13_12.14.12.228000
41	250	n11.wav	22.png	110	22.png	1	180	0	methexp32	2016-05-13_12.14.12.228000
41	158	neu7.wav	MotivationCS27.png	110	MotivationCS27.png	1	180	90	methexp32	2016-05-13_12.14.12.228000
41	250	n14.wav	04.png	150	04.png	1	0	180	methexp32	2016-05-13_12.14.12.228000
41	250	p52.wav	51.png	110	51.png	1	270	0	methexp32	2016-05-13_12.14.12.228000
41	158	neu8.wav	MotivationCS27.png	110	MotivationCS27.png	1	0	270	methexp32	2016-05-13_12.14.12.228000
41	158	neu6.wav	MotivationCS27.png	110	MotivationCS27.png	1	0	270	methexp32	2016-05-13_12.14.12.228000
41	158	neu10.wav	MotivationCS27.png	110	MotivationCS27.png	1	180	90	methexp32	2016-05-13_12.14.12.228000
41	153	p52.wav	50.png	110	20.png	0	0	180	methexp32	2016-05-13_12.14.12.228000
41	250	n14.wav	22.png	110	22.png	1	90	270	methexp32	2016-05-13_12.14.12.228000
41	152	n45.wav	08.png	110	08.png	1	270	90	methexp32	2016-05-13_12.14.12.228000
41	158	neu7.wav	MotivationCS33.png	110	MotivationCS33.png	1	0	180	methexp32	2016-05-13_12.14.12.228000
41	158	neu4.wav	MotivationCS33.png	110	MotivationCS33.png	1	270	0	methexp32	2016-05-13_12.14.12.228000
41	152	p53.wav	20.png	110	14.png	0	270	0	methexp32	2016-05-13_12.14.12.228000
41	153	n40.wav	14.png	110	14.png	1	180	0	methexp32	2016-05-13_12.14.12.228000
41	152	n31.wav	08.png	110	20.png	0	180	270	methexp32	2016-05-13_12.14.12.228000
41	153	p89.wav	50.png	110	14.png	0	0	270	methexp32	2016-05-13_12.14.12.228000
41	158	neu5.wav	MotivationCS27.png	110	MotivationCS27.png	1	270	0	methexp32	2016-05-13_12.14.12.228000
41	250	n40.wav	04.png	150	04.png	1	180	0	methexp32	2016-05-13_12.14.12.228000
41	158	neu2.wav	MotivationCS27.png	110	MotivationCS27.png	1	90	270	methexp32	2016-05-13_12.14.12.228000
41	152	n50.wav	08.png	110	20.png	0	90	180	methexp32	2016-05-13_12.14.12.228000
41	250	p91.wav	51.png	110	51.png	1	270	0	methexp32	2016-05-13_12.14.12.228000
41	152	n25.wav	08.png	110	20.png	0	270	90	methexp32	2016-05-13_12.14.12.228000
41	250	p36.wav	03.png	150	03.png	1	0	180	methexp32	2016-05-13_12.14.12.228000
41	250	p89.wav	03.png	150	03.png	1	180	90	methexp32	2016-05-13_12.14.12.228000
41	250	n13.wav	22.png	110	22.png	1	90	270	methexp32	2016-05-13_12.14.12.228000
41	158	neu4.wav	MotivationCS27.png	110	MotivationCS27.png	1	90	180	methexp32	2016-05-13_12.14.12.228000
41	158	neu3.wav	MotivationCS27.png	110	MotivationCS27.png	1	0	270	methexp32	2016-05-13_12.14.12.228000
41	152	p73.wav	20.png	110	20.png	1	0	270	methexp32	2016-05-13_12.14.12.228000
41	250	p22.wav	03.png	150	03.png	1	270	180	methexp32	2016-05-13_12.14.12.228000
41	250	p22.wav	51.png	110	51.png	1	270	180	methexp32	2016-05-13_12.14.12.228000
41	152	p89.wav	20.png	110	20.png	1	270	90	methexp32	2016-05-13_12.14.12.228000
41	152	p45.wav	20.png	110	14.png	0	180	270	methexp32	2016-05-13_12.14.12.228000
41	152	p36.wav	20.png	110	08.png	0	270	0	methexp32	2016-05-13_12.14.12.228000
41	250	n25.wav	04.png	150	04.png	1	0	180	methexp32	2016-05-13_12.14.12.228000
41	153	p22.wav	50.png	110	50.png	1	270	180	methexp32	2016-05-13_12.14.12.228000
41	250	n40.wav	22.png	110	22.png	1	90	270	methexp32	2016-05-13_12.14.12.228000
41	158	neu2.wav	MotivationCS33.png	110	MotivationCS33.png	1	90	180	methexp32	2016-05-13_12.14.12.228000
41	250	p73.wav	03.png	150	03.png	1	180	90	methexp32	2016-05-13_12.14.12.228000
41	250	n31.wav	22.png	110	22.png	1	180	0	methexp32	2016-05-13_12.14.12.228000
41	250	p23.wav	03.png	150	03.png	1	180	90	methexp32	2016-05-13_12.14.12.228000
41	152	p21.wav	20.png	110	20.png	1	270	90	methexp32	2016-05-13_12.14.12.228000
