subjnr;loop_m;blocknr;trialnr;cue_left_learn;cue_right_learn;option_up;option_down;practice;motivation; congruence;cue_dur;cue;SOA;mask_dur;mask;target_dur;target;response;RT;kb_rt;response_absolute;response_target;RT_target;kb_rt_target;response_absolute_target; fix_onset;cue_onset;cue_offset;mask_onset;mask_offset;target_offset;blank_onset;frame_dur
11;1;9;11;letter181;letter357;letter181;letter357;0;0;incongruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;down;0.5020381999784149;0.5106474999920465;357117.1705566;m;0.3747935999999754;0.3800040999776684;357117.7544028;2.7999631129205227e-06;0.5000472999527119;0.5400694999843836;0.550089799973648;0.6201068999944255;0.7502128999913111;0.880296699993778;0.01
11;1;9;12;letter181;letter357;letter181;letter357;0;0;incongruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;up;0.54597500001546;0.5504482000251301;357119.7866034;m;0.2989555000094697;0.2991329000215046;357120.2904757;2.6999623514711857e-06;0.5055208000121638;0.545528499991633;0.5555176999769174;0.6255674000130966;0.7556374999694526;0.8857501999591477;0.01
11;1;9;13;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_left.png;up;0.7985478999908082;0.8010199000127614;357122.5706784;c;0.3954890000168234;0.3980967999668792;357122.9704731;2.700020559132099e-06;0.504618400009349;0.5446185999899171;0.5546136000193655;0.6246764999814332;0.7547348000225611;0.8848511999822222;0.01
11;1;9;14;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_left.png;up;0.684424199978821;0.6900770000065677;357125.1384693;c;0.5523335000034422;0.5589345999760553;357125.6983944;2.700020559132099e-06;0.5018909000209533;0.5419193000416271;0.5519285000045784;0.6219612000277266;0.7520685000345111;0.8821412000106648;0.01
11;1;9;15;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_left.png;down;0.5945938000222668;0.6003160999971442;357127.770533;c;0.7297786000417545;0.7300101000000723;357128.7064458;2.700020559132099e-06;0.49950400000670925;0.5395122999907471;0.5495298000168987;0.6195593000156805;0.7496565000037663;0.8797502999659628;0.01
11;1;9;16;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_right.png;up;0.5194081999943592;0.5207761999918148;357130.706805;m;0.12580209999578074;0.129603200010024;357131.0343742;2.800021320581436e-06;0.5057436000206508;0.5457585999974981;0.555773300002329;0.6258015999919735;0.7558829999761656;0.8859941000118852;0.01
11;1;9;17;letter181;letter357;letter181;letter357;0;0;incongruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;up;0.6456570000154898;0.6503252999973483;357133.1545003;m;0.31323549995431677;0.31820839998545125;357133.4743429;2.6999623514711857e-06;0.49962909996975213;0.5396619999664836;0.549630299967248;0.6196834999718703;0.7497554000001401;0.8798493999638595;0.01
11;1;9;18;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_left.png;up;0.7402334000216797;0.741081900021527;357135.6905588;c;0.38099530001636595;0.3879722999990918;357136.0743805;2.6999623514711857e-06;0.4966582999913953;0.5366798999602906;0.5466675999923609;0.6167179999756627;0.7467938999761827;0.8769099999917671;0.01
11;1;9;19;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_right.png;up;0.5465228999964893;0.5505913000088185;357138.0986718;m;0.3552614999935031;0.36008239997318015;357138.6583758;2.700020559132099e-06;0.5018563999910839;0.541901400021743;0.5518954999861307;0.6219103999901563;0.7520054000196978;0.8821141999796964;0.01
11;1;9;20;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_right.png;down;0.9306798999896273;0.9406382000306621;357141.0745223;m;0.22799819998908788;0.22835459996713325;357141.3144197;2.600019797682762e-06;0.5015579999890178;0.5415815999731421;0.55156429996714;0.621618099976331;0.7516887999954633;0.8817906000185758;0.01
11;1;9;21;letter181;letter357;letter181;letter357;0;0;incongruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;up;0.5593396999756806;0.5605135000078008;357143.3546167;c;0.6381980999722145;0.6403001999715343;357144.1944393;2.700020559132099e-06;0.5043472000397742;0.5443345000385307;0.5543534000171348;0.6244044000050053;0.7544766000355594;0.884589200024493;0.01
11;1;9;22;letter181;letter357;letter181;letter357;0;0;incongruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;down;0.4211607000324875;0.43090860004303977;357146.0984152;m;0.1347113000229001;0.1405456000356935;357146.4424171;2.700020559132099e-06;0.5041497999918647;0.5441649000276811;0.5541660999879241;0.624211499991361;0.7542831000173464;0.884413100022357;0.01
