subjnr;loop_m;blocknr;trialnr;cue_left_learn;cue_right_learn; congruence;cue_dur;cue;SOA;mask_dur;mask;target_dur;target;RW_dur;response;RT;kb_rt;response_absolute; fix_onset;cue_onset;cue_offset;mask_onset;mask_offset;target_offset;blank_onset;response_during_mask;response_during_targetalone;response_during_RW;response_during_blank;frame_dur
7;1;3;11;letter357;letter181;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;0.13;m;0.4693342999671586;0.4696769999573007;267856.4954573;3.100023604929447e-06;0.49489600001834333;0.5349080000305548;0.5469426999916323;0.6167172000277787;0.7463706000125967;0.8770176999969408;0;0;0;1;0.01
7;1;3;12;letter357;letter181;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;0.13;c;0.40885599999455735;0.4109650999889709;267858.3353814;2.7999631129205227e-06;0.4968267999938689;0.5368243999546394;0.548033699975349;0.6188498999690637;0.7484997999854386;0.8791514000040479;0;0;0;1;0.01
7;1;3;13;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;0.13;m;0.4114560000016354;0.4209370000171475;267860.1993876;3.100023604929447e-06;0.50080550002167;0.5408008000231348;0.5522048000129871;0.6221153000369668;0.7526733000413515;0.882327500032261;0;0;0;1;0.01
7;1;3;14;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;0.13;m;0.45959540002513677;0.4597493000328541;267862.119458;3.100023604929447e-06;0.49680299998726696;0.5367861000122502;0.5489034000202082;0.6187222999869846;0.7483787999954075;0.8790284999995492;0;0;0;1;0.01
7;1;3;15;letter357;letter181;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;0.13;c;0.34316640003817156;0.3510715000447817;267863.9034236;3.00002284348011e-06;0.5045427000150084;0.5445607000146993;0.5558446000213735;0.6266077000182122;0.7562604999984615;0.8859220000449568;0;0;0;1;0.01
7;1;3;16;letter357;letter181;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;0.13;c;0.5092603000230156;0.5106064000283368;267865.8714927;2.9999646358191967e-06;0.5000498999725096;0.5399834999698214;0.5520789999864064;0.6217853999696672;0.7514505999861285;0.8820855999947526;0;0;0;1;0.01
7;1;3;17;letter357;letter181;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;0.13;c;1.1179357999935746;1.1200207999791019;267868.4313687;2.7999631129205227e-06;0.49664550001034513;0.5366637000115588;0.5486884000129066;0.6184571000048891;0.7481152999680489;0.8787559999618679;0;0;0;1;0.01
7;1;3;18;letter357;letter181;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;0.13;m;0.3903685999684967;0.399946799967438;267870.2554402;3.00002284348011e-06;0.5020737000158988;0.5420986000099219;0.5541147000039928;0.623888700036332;0.7535396000021137;0.8841844000271522;0;0;0;1;0.01
7;1;3;19;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;0.13;m;0.4130232000024989;0.41998100001364946;267872.1193606;3.100023604929447e-06;0.49495439999736845;0.5349479000433348;0.5470195999951102;0.6168743000016548;0.7465270000393502;0.8771698999917135;0;0;0;1;0.01
7;1;3;20;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;0.13;m;0.3579495999729261;0.3600571000133641;267873.9354268;3.00002284348011e-06;0.5010895000305027;0.5411298000253737;0.5531341999885626;0.6229249000316486;0.7525767000042833;0.8832321999943815;0;0;0;1;0.01
7;1;3;21;letter357;letter181;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;0.13;c;0.5172577999765053;0.5206170000019483;267875.8954016;2.900022082030773e-06;0.5039787000278011;0.5440127000329085;0.5555120999924839;0.6252845000126399;0.7559323000023142;0.885588800010737;0;0;0;1;0.01
7;1;3;22;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;0.13;m;0.23744540003826842;0.23937910003587604;267877.5673554;3.100023604929447e-06;0.4988201000378467;0.5388215000275522;0.5508375000208616;0.6206099000410177;0.7502641000319272;0.9891294000553899;0;0;1;0;0.01
7;1;3;23;letter357;letter181;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;0.13;c;0.3542184999678284;0.36004449997562915;267879.5754169;2.800021320581436e-06;0.504283900023438;0.5443039000383578;0.5563687999965623;0.6261338000185788;0.7557863999973051;0.8864367000060156;0;0;0;1;0.01
7;1;3;24;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;0.13;m;0.33120079996297136;0.3402442999649793;267881.3434724;3.200024366378784e-06;0.4974878000211902;0.5375201000133529;0.5495072000194341;0.6194129000068642;0.7489791000261903;0.8797185000148602;0;0;0;1;0.01
7;1;3;25;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;0.13;m;0.3958573999698274;0.4000444000121206;267883.1994446;3.00002284348011e-06;0.4996343000093475;0.539652900013607;0.551804099988658;0.6217156000202522;0.7512734000338241;0.8819249999942258;0;0;0;1;0.01
7;1;3;26;letter357;letter181;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;0.13;c;0.43299040000420064;0.4398203000309877;267885.0873572;3.00002284348011e-06;0.5004702999722213;0.5404909999924712;0.5522187000024132;0.6219941999879666;0.7526432999875396;0.8822972999769263;0;0;0;1;0.01
7;1;3;27;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;0.13;m;0.38146669999696314;0.3899725999799557;267886.927348;2.8999638743698597e-06;0.5035981999826618;0.543620899959933;0.5556271999957971;0.6254006999661215;0.7550533999456093;0.8857046999619342;0;0;0;1;0.01
7;1;3;28;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;0.13;c;0.2603588000056334;0.2702898000134155;267888.6474256;3.100023604929447e-06;0.5035264000180177;0.5435491000534967;0.5555544000235386;0.6253274000482634;0.754982500046026;1.0238665000069886;0;0;1;0;0.01
7;1;3;29;letter357;letter181;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;0.13;m;0.30283540004165843;0.30997390003176406;267890.5913602;2.8999638743698597e-06;0.49919399997452274;0.5392101999605075;0.5514443999854848;0.6210132999694906;0.750659600016661;1.0595579000073485;0;0;1;0;0.01
7;1;3;30;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;0.13;c;0.5277938999934122;0.5295954999746755;267892.7673447;3.100023604929447e-06;0.4995639000553638;0.5395765000139363;0.5515681000542827;0.621343600039836;0.7509953000117093;0.88163490005536;0;0;0;1;0.01
7;1;3;31;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;0.13;m;0.6825258999597281;0.6901079999515787;267894.9033962;2.900022082030773e-06;0.5024341000244021;0.5424430000130087;0.5544747000094503;0.6241892999969423;0.7538413000293076;0.884489800024312;0;0;0;1;0.01
7;1;3;32;letter357;letter181;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;0.13;m;0.27917140000499785;0.2803295000339858;267896.6314426;2.9999646358191967e-06;0.5046822999720462;0.5447111999965273;0.5567507999949157;0.626513299997896;0.7561653999728151;1.0350225999718532;0;0;1;0;0.01
