sid,bid,tid,stimulus_location,response_location,response_time,response_deadline,error
5,1,64,5,5,0.4628235997632146,0.7,0
5,1,65,1,,,0.7,
5,1,66,3,,,0.7,
5,1,67,4,4,0.3559470001608133,0.7,0
5,1,68,6,6,0.36627950025722383,0.7,0
5,1,69,5,4,0.4422705999575555,0.7,1
5,1,70,6,6,0.452328799944371,0.7,0
5,1,71,4,,,0.7,
5,1,72,1,1,0.4368241999298334,0.7,0
5,1,73,2,2,0.4976036000996828,0.7,0
5,1,74,4,5,0.35384800024330615,0.7,1
5,1,75,6,6,0.37897530030459164,0.7,0
5,1,76,1,1,0.5002046001143754,0.7,0
5,1,77,2,,,0.7,
5,1,78,6,6,0.4438831998966634,0.7,0
5,1,79,2,3,0.4634900001809001,0.7,1
5,1,80,3,3,0.44328600000590085,0.7,0
5,1,81,4,4,0.47306539975106715,0.7,0
5,1,82,1,,,0.7,
5,1,83,3,,,0.7,
5,1,84,6,6,0.37484650006517767,0.7,0
5,1,85,2,2,0.3456399000249803,0.7,0
5,1,86,6,6,0.3991461002267897,0.7,0
5,1,87,5,4,0.4721564996987581,0.7,1
5,1,88,1,1,0.47225810000672935,0.7,0
5,1,89,5,,,0.7,
5,1,90,4,,,0.7,
5,1,91,1,,,0.7,
5,1,92,4,4,0.3584265002980828,0.7,0
5,1,93,1,1,0.33125529969111084,0.7,0
5,1,94,3,3,0.43789599994197487,0.7,0
5,1,95,1,1,0.45825229976326226,0.7,0
5,1,96,2,2,0.3476494999602437,0.7,0
5,1,97,3,3,0.4694867997430265,0.7,0
5,1,98,4,4,0.4978762997314334,0.7,0
5,1,99,1,1,0.427473299857229,0.7,0
5,1,100,2,2,0.4836407002992928,0.7,0
5,1,101,6,6,0.41380370007827877,0.7,0
5,1,102,3,2,0.4067339000292122,0.7,1
5,1,103,4,5,0.4591682997532189,0.7,1
5,1,104,2,,,0.7,
5,1,105,6,2,0.16519100004807113,0.7,1
5,1,106,5,,,0.7,
5,1,107,1,1,0.3843903003260493,0.7,0
5,1,108,3,3,0.3795967997983098,0.7,0
5,1,109,2,2,0.3821348000317812,0.7,0
5,1,110,1,1,0.47218520026654004,0.7,0
5,1,111,5,5,0.486886400450021,0.7,0
5,1,112,3,3,0.4929754000157118,0.7,0
5,1,113,5,,,0.7,
5,1,114,3,3,0.47867479985579847,0.7,0
5,1,115,5,,,0.7,
5,1,116,6,6,0.44568559965118765,0.7,0
5,1,117,4,4,0.4639172998256981,0.7,0
5,1,118,3,,,0.7,
5,1,119,2,3,0.40902069974690675,0.7,1
5,1,120,1,1,0.4496492000296712,0.7,0
5,1,121,2,2,0.4088495999574661,0.7,0
5,1,122,6,6,0.4586116999387741,0.7,0
5,1,123,2,3,0.381835700199008,0.7,1
5,1,124,6,6,0.45560779999941586,0.7,0
5,1,125,2,2,0.3789891998283565,0.7,0
5,1,126,6,6,0.4095823999494314,0.7,0
5,1,127,5,5,0.5045188001357019,0.7,0
5,1,128,3,,,0.7,
5,1,129,4,,,0.7,
5,1,130,1,1,0.3597556997090578,0.7,0
5,1,131,2,2,0.3795947001315653,0.7,0
5,1,132,3,3,0.2865300999954343,0.7,0
5,1,133,5,4,0.2912927998229861,0.7,1
5,1,134,6,6,0.4862242999486625,0.7,0
5,1,135,5,5,0.4865936000831425,0.7,0
5,1,136,3,1,0.4236171000637114,0.7,1
5,1,137,2,,,0.7,
5,1,138,1,1,0.4511661000549793,0.7,0
5,1,139,2,2,0.3101179997436702,0.7,0
5,1,140,1,1,0.44331369986757635,0.7,0
5,1,141,3,,,0.7,
5,1,142,4,4,0.4860031001269817,0.7,0
5,1,143,6,6,0.38765000011771916,0.7,0
5,1,144,3,,,0.7,
5,2,145,4,3,0.3943497000262141,0.7,1
5,2,146,1,1,0.4073644999414682,0.7,0
5,2,147,4,4,0.47163180001080035,0.7,0
5,2,148,3,,,0.7,
5,2,149,5,4,0.4856565000489354,0.7,1
5,2,150,1,1,0.48550619995221495,0.7,0
5,2,151,2,2,0.3747622000053525,0.7,0
5,2,152,5,,,0.7,
5,2,153,4,,,0.7,
5,2,154,1,,,0.7,
5,2,155,4,5,0.3402307999320328,0.7,1
5,2,156,1,1,0.37313970010727643,0.7,0
5,2,157,2,3,0.41522829998284577,0.7,1
5,2,158,5,,,0.7,
5,2,159,1,1,0.4577506000176072,0.7,0
5,2,160,2,2,0.31679820008575915,0.7,0
5,2,161,3,3,0.3311110997572541,0.7,0
5,2,162,6,6,0.4853136997669935,0.7,0
