id,age,gender,mothertongue,handedness,vision,vision_impairment,field_of_study,material,stim_duration,isi,block,n_prime,prime1,prime2,prime3,target,prime5,probe,probe_type,probe_response,correct_response,correct,rt
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,087.bmp,037.bmp,tape_10.bmp,128.bmp,horseshoe_5.bmp,new,l,l,1,828
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,009.bmp,017.bmp,058.bmp,jack-o-lantern_2.bmp,008.bmp,jack-o-lantern_17.bmp,lure,l,l,1,1143
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,066.bmp,123.bmp,004.bmp,licenseplate_11.bmp,023.bmp,frame_3.bmp,new,l,l,1,787
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,059.bmp,091.bmp,010.bmp,videogamecontroller_12.bmp,109.bmp,bonsai_16.bmp,new,l,l,1,755
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,087.bmp,080.bmp,060.bmp,birdhouse_8.bmp,122.bmp,birdhouse_8.bmp,target,a,a,1,791
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,099.bmp,necklace_5.bmp,115.bmp,necklace_5.bmp,target,a,a,1,635
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,123.bmp,046.bmp,113.bmp,typewriter_8.bmp,096.bmp,typewriter_8.bmp,target,a,a,1,717
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,008.bmp,101.bmp,christmasstocking_5.bmp,092.bmp,rock_8.bmp,new,l,l,1,1328
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,099.bmp,dog_17.bmp,112.bmp,boot_6.bmp,new,l,l,1,1057
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,111.bmp,soldier_4.bmp,091.bmp,soldier_14.bmp,lure,l,l,1,1234
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,005.bmp,082.bmp,056.bmp,toiletseat_9.bmp,033.bmp,nailpolish_17.bmp,new,l,l,1,648
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,121.bmp,068.bmp,021.bmp,car_4.bmp,092.bmp,mp3player_16.bmp,new,l,l,1,780
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,075.bmp,098.bmp,skateboard_14.bmp,059.bmp,skateboard_14.bmp,target,a,a,1,2558
