subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3,VF_pos,VF_neg
82,4,4,ec,7,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,8370.bmp,0.076,no,yes,no,no,no,no,no,no,yes,yes,no
82,4,5,ec,3,negative,L   O   B   F,maske_1.bmp,maske_2.bmp,9560.bmp,0.076,yes,no,no,no,no,no,no,no,yes,no,yes
82,4,6,ec,8,negative,J   O   R   B,maske_2.bmp,maske_1.bmp,9000.bmp,0.076,no,yes,no,no,no,no,no,no,yes,no,yes
82,4,7,ec,6,negative,B   R   O   F,maske_1.bmp,maske_2.bmp,9280.bmp,0.076,no,yes,no,no,no,no,no,no,yes,no,yes
82,4,8,ec,8,positive,S   P   A   W,maske_1.bmp,maske_2.bmp,2071.bmp,0.076,no,no,yes,no,no,no,no,no,yes,yes,no
82,4,9,ec,1,positive,P   A   N   S,maske_1.bmp,maske_2.bmp,8190.bmp,0.076,no,no,yes,no,no,no,no,no,yes,yes,no
82,4,10,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,9330.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
82,4,11,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,4622.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,4,12,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,2375.1.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
82,4,13,ec,4,negative,L   O   R   B,maske_1.bmp,maske_2.bmp,3300.bmp,0.076,no,yes,no,no,no,no,no,no,yes,no,yes
82,4,14,ec,2,negative,B   O   L   F,maske_2.bmp,maske_1.bmp,9180.bmp,0.076,no,yes,no,no,no,no,no,no,yes,no,yes
82,4,15,ec,6,positive,S   N   A   D,maske_1.bmp,maske_2.bmp,8420.bmp,0.076,no,yes,no,no,no,no,no,no,yes,yes,no
82,4,16,ec,3,positive,W   A   N   S,maske_1.bmp,maske_2.bmp,2091.bmp,0.076,no,yes,no,no,no,no,no,no,yes,yes,no
82,4,17,ec,1,negative,B   O   R   F,maske_1.bmp,maske_2.bmp,9041.bmp,0.076,no,yes,no,no,no,no,no,no,yes,no,yes
82,4,18,ec,4,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,2550.bmp,0.076,no,yes,no,no,no,no,no,no,yes,yes,no
82,4,19,ec,5,positive,P   A   N   D,maske_2.bmp,maske_1.bmp,2208.bmp,0.076,no,yes,no,no,no,no,no,no,yes,yes,no
82,4,20,ec,7,negative,F   R   O   B,maske_1.bmp,maske_2.bmp,6555.bmp,0.076,no,yes,no,no,no,no,no,no,yes,no,yes
82,5,1,ec,2,positive,S   N   A   W,maske_2.bmp,maske_1.bmp,7502.bmp,0.078,no,yes,no,no,no,no,no,no,yes,no,yes
82,5,2,ec,4,negative,L   O   R   B,maske_2.bmp,maske_1.bmp,1525.bmp,0.078,no,yes,no,no,no,no,no,no,yes,no,yes
82,5,3,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,8470.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,5,4,ec,8,negative,J   O   R   B,maske_2.bmp,maske_1.bmp,6530.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
