subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4,VF_pos,VF_neg
90,4,13,ec,5,negative,F   R   O   B,maske_2.bmp,maske_1.bmp,6831.bmp,0.061,S   P   A   W,S   W   A   P,B   O   R   L,F   R   O   B,no,no,no,yes,no,yes
90,4,14,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,2160.bmp,0.5,H   Y   V   Z,K   I   G   M,T   E   H   V,G   M   U   X,no,yes,no,no,yes,no
90,4,15,ec,2,negative,J   O   R   B,maske_1.bmp,maske_2.bmp,6838.bmp,0.061,F   L   O   R,S   W   A   P,S   P   A   W,J   O   R   B,no,no,no,yes,no,yes
90,4,16,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,4606.bmp,0.5,G   M   U   X,T   E   H   V,K   I   G   M,H   Y   V   Z,yes,no,no,no,yes,no
90,4,17,ec,3,negative,B   O   R   L,maske_2.bmp,maske_1.bmp,9432.bmp,0.061,S   W   A   D,S   N   A   D,B   O   R   L,F   R   O   B,no,no,no,yes,no,yes
90,4,18,ec,6,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,2058.bmp,0.061,S   W   A   D,F   R   O   B,S   W   A   P,B   L   O   F,yes,no,no,no,yes,no
90,4,19,ec,6,negative,B   L   O   R,maske_1.bmp,maske_2.bmp,9400.bmp,0.061,P   A   W   S,S   W   A   D,B   L   O   F,B   L   O   R,no,no,no,yes,no,yes
90,4,20,ec,1,positive,S   W   A   P,maske_1.bmp,maske_2.bmp,4622.bmp,0.061,S   W   A   P,W   A   P   S,F   L   O   R,B   L   O   R,yes,no,no,no,yes,no
90,5,1,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,9220.bmp,0.5,T   E   H   V,K   I   G   M,G   M   U   X,H   Y   V   Z,yes,no,no,no,no,yes
90,5,2,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,6570.1.bmp,0.5,H   Y   V   Z,G   M   U   X,K   I   G   M,T   E   H   V,yes,no,no,no,no,yes
90,5,3,ec,2,positive,W   A   P   S,maske_2.bmp,maske_1.bmp,2150.bmp,0.061,J   O   R   F,F   L   O   R,D   A   N   S,W   A   P   S,no,no,yes,no,yes,no
90,5,4,ec,1,negative,J   O   R   F,maske_2.bmp,maske_1.bmp,6838.bmp,0.061,D   W   A   P,P   A   W   S,B   L   O   R,J   O   R   F,no,no,yes,no,no,yes
90,5,5,ec,6,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,8330.bmp,0.061,S   W   A   D,J   O   R   F,S   W   A   P,F   L   O   R,no,no,yes,no,yes,no
90,5,6,ec,2,negative,J   O   R   B,maske_1.bmp,maske_2.bmp,6555.bmp,0.061,J   O   R   F,J   O   R   B,S   N   A   D,D   A   N   S,yes,no,no,no,no,yes
90,5,7,ec,8,positive,D   A   N   S,maske_2.bmp,maske_1.bmp,7502.bmp,0.061,B   R   O   L,W   A   P   S,D   A   N   S,B   L   O   F,no,no,yes,no,yes,no
90,5,8,ec,7,positive,S   N   A   D,maske_2.bmp,maske_1.bmp,8200.bmp,0.061,S   N   A   D,B   L   O   R,D   W   A   P,B   L   O   F,yes,no,no,no,yes,no
90,5,9,ec,5,positive,S   P   A   W,maske_2.bmp,maske_1.bmp,8080.bmp,0.061,F   R   O   B,P   A   W   S,S   P   A   W,B   L   O   R,no,no,yes,no,yes,no
90,5,10,ec,3,negative,B   O   R   L,maske_1.bmp,maske_2.bmp,9050.bmp,0.061,B   L   O   F,B   O   R   L,S   P   A   W,D   W   A   P,no,yes,no,no,no,yes
90,5,11,ec,6,negative,B   L   O   R,maske_1.bmp,maske_2.bmp,2750.bmp,0.061,D   A   N   S,B   L   O   R,B   R   O   L,S   W   A   D,no,yes,no,no,no,yes
90,5,12,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,2080.bmp,0.5,T   E   H   V,H   Y   V   Z,K   I   G   M,G   M   U   X,no,no,yes,no,yes,no
90,5,13,ec,5,negative,F   R   O   B,maske_1.bmp,maske_2.bmp,2375.1.bmp,0.061,B   O   R   L,S   W   A   P,S   P   A   W,F   R   O   B,no,no,no,yes,no,yes
90,5,14,ec,8,negative,B   L   O   F,maske_2.bmp,maske_1.bmp,9340.bmp,0.061,B   L   O   F,S   N   A   D,J   O   R   B,W   A   P   S,yes,no,no,no,no,yes
90,5,15,ec,3,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,2040.bmp,0.061,S   P   A   W,J   O   R   B,B   O   R   L,D   W   A   P,no,no,no,yes,yes,no
90,5,16,ec,1,positive,S   W   A   P,maske_1.bmp,maske_2.bmp,8420.bmp,0.061,S   W   A   P,S   W   A   D,B   O   R   L,F   R   O   B,yes,no,no,no,yes,no
90,5,17,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,2550.bmp,0.5,K   I   G   M,G   M   U   X,H   Y   V   Z,T   E   H   V,no,yes,no,no,yes,no
90,5,18,ec,4,negative,F   L   O   R,maske_2.bmp,maske_1.bmp,8485.bmp,0.061,S   W   A   D,S   W   A   P,F   R   O   B,F   L   O   R,no,no,yes,no,no,yes
90,5,19,ec,4,positive,P   A   W   S,maske_2.bmp,maske_1.bmp,8470.bmp,0.061,J   O   R   B,B   R   O   L,P   A   W   S,S   N   A   D,no,no,yes,no,yes,no
90,5,20,ec,7,negative,B   R   O   L,maske_2.bmp,maske_1.bmp,9280.bmp,0.061,W   A   P   S,F   L   O   R,P   A   W   S,B   R   O   L,no,yes,no,no,no,yes
