subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals_for_calc; reversals_total; stepsize; pas_rating;VF_pos;VF_neg
52;2;54;2.5;negative;J   O   R   F;maske_2.bmp;maske_1.bmp;Prison 2.jpg;0.02799999999999997;-1;-1;13;29;0.001;3;no;yes
52;2;55;2.5;positive;S   P   A   V;maske_2.bmp;maske_1.bmp;Cat 5.jpg;0.02699999999999997;-1;-1;13;29;0.001;3;yes;no
52;2;56;5.0;positive;M   E   H   K;maske_2.bmp;maske_1.bmp;Zebra 1.jpg;0.08399999999999996;1;-1;17;27;0.001;6;yes;no
52;2;57;2.5;negative;B   O   R   F;maske_2.bmp;maske_1.bmp;Angry face 4.jpg;0.025999999999999968;-1;-1;13;29;0.001;5;no;yes
52;2;58;5.0;negative;N   U   G   Z;maske_2.bmp;maske_1.bmp;Destruction 7.jpg;0.08299999999999996;-1;-1;17;27;0.001;6;yes;no
52;2;59;2.5;positive;W   A   P   S;maske_2.bmp;maske_1.bmp;Cat 4.jpg;0.024999999999999967;-1;-1;13;29;0.001;3;yes;no
52;2;60;2.5;negative;B   J   O   F;maske_2.bmp;maske_1.bmp;Gun 1.jpg;0.023999999999999966;-1;-1;13;29;0.001;3;no;yes
52;2;61;5.0;positive;K   E   L   M;maske_2.bmp;maske_1.bmp;Mother 5.jpg;0.08199999999999996;-1;-1;17;27;0.001;6;yes;no
52;2;62;5.0;positive;K   E   H   M;maske_1.bmp;maske_2.bmp;Baby 8.jpg;0.08099999999999996;-1;-1;17;27;0.001;6;yes;no
52;2;63;2.5;positive;S   A   P   V;maske_1.bmp;maske_2.bmp;Soup 1.jpg;0.022999999999999965;-1;-1;13;29;0.001;3;yes;no
52;2;64;2.5;negative;F   O   R   B;maske_2.bmp;maske_1.bmp;Angry face 5.jpg;0.021999999999999964;-1;-1;13;29;0.001;4;yes;no
52;3;1;2.5;positive;P   S   A   V;maske_2.bmp;maske_1.bmp;Baby 6.jpg;0.020999999999999963;-1;-1;13;29;0.001;4;yes;no
52;3;2;5.0;negative;G   U   N   T;maske_1.bmp;maske_2.bmp;Angry pose 1.jpg;0.07999999999999996;-1;-1;17;27;0.001;5;no;yes
52;3;3;5.0;positive;M   E   H   K;maske_1.bmp;maske_2.bmp;Father 1.jpg;0.07999999999999996;-1;-1;17;27;0.001;6;yes;no
