ParticipantNumber	SpaceYesNo	IsTarget	LeftOrder	RightOrder	timeStamp	TrialNr	Interval
72	0	0	neu_l_9.wav	neu_r_28.wav	2015-06-18_10.30.24.350000	90	0
72	0	1	l_tol_7.wav	neu_r_29.wav	2015-06-18_10.30.24.350000	91	1
72	0	0	l_lup_8.wav	pos_r_1.wav	2015-06-18_10.30.24.350000	92	0
72	0	0	l_nif_11.wav	neu_r_59.wav	2015-06-18_10.30.24.350000	93	0
72	0	1	neu_l_14.wav	r_tol_5.wav	2015-06-18_10.30.24.350000	94	1
72	1	0	neu_l_17.wav	neg_r_47.wav	2015-06-18_10.30.24.350000	95	0
72	0	0	neu_l_31.wav	neu_r_2.wav	2015-06-18_10.30.24.350000	96	0
72	0	1	neu_l_17.wav	r_tol_12.wav	2015-06-18_10.30.24.350000	97	1
72	1	0	neu_l_36.wav	pos_r_21.wav	2015-06-18_10.30.24.350000	98	0
72	0	0	neu_l_69.wav	neu_r_65.wav	2015-06-18_10.30.24.350000	99	0
72	0	1	neu_l_26.wav	r_tol_11.wav	2015-06-18_10.30.24.350000	100	1
72	1	0	neu_l_48.wav	neg_r_60.wav	2015-06-18_10.30.24.350000	101	0
72	0	0	neu_l_25.wav	neu_r_1.wav	2015-06-18_10.30.24.350000	102	0
72	0	1	neu_l_26.wav	r_tol_12.wav	2015-06-18_10.30.24.350000	103	1
72	1	0	neu_l_63.wav	pos_r_23.wav	2015-06-18_10.30.24.350000	104	0
72	0	0	neu_l_5.wav	neu_r_40.wav	2015-06-18_10.30.24.350000	105	0
72	0	1	l_tol_14.wav	neu_r_64.wav	2015-06-18_10.30.24.350000	106	1
72	0	0	l_lup_10.wav	neg_r_33.wav	2015-06-18_10.30.24.350000	107	0
72	0	0	l_nif_9.wav	neu_r_61.wav	2015-06-18_10.30.24.350000	108	0
72	0	0	neu_l_34.wav	pos_r_15.wav	2015-06-18_10.30.24.350000	109	1
72	0	0	neu_l_42.wav	neu_r_33.wav	2015-06-18_10.30.24.350000	110	0
72	0	0	neu_l_9.wav	neg_r_79.wav	2015-06-18_10.30.24.350000	111	1
72	0	0	neu_l_63.wav	neu_r_20.wav	2015-06-18_10.30.24.350000	112	0
72	0	1	neu_l_51.wav	r_tol_19.wav	2015-06-18_10.30.24.350000	113	1
72	1	0	neu_l_43.wav	pos_r_56.wav	2015-06-18_10.30.24.350000	114	0
72	0	0	neu_l_66.wav	neu_r_40.wav	2015-06-18_10.30.24.350000	115	0
72	0	0	neu_l_62.wav	neg_r_1.wav	2015-06-18_10.30.24.350000	116	1
72	0	0	neu_l_36.wav	neu_r_65.wav	2015-06-18_10.30.24.350000	117	0
72	0	1	neu_l_71.wav	r_tol_15.wav	2015-06-18_10.30.24.350000	118	1
72	1	0	neu_l_25.wav	pos_r_62.wav	2015-06-18_10.30.24.350000	119	0
72	0	0	neu_l_68.wav	neu_r_80.wav	2015-06-18_10.30.24.350000	120	0
72	0	0	neu_l_45.wav	pos_r_41.wav	2015-06-18_10.30.24.350000	121	1
72	0	0	neu_l_52.wav	neu_r_22.wav	2015-06-18_10.30.24.350000	122	0
72	0	1	l_tol_9.wav	neu_r_18.wav	2015-06-18_10.30.24.350000	123	1
72	0	0	l_lup_4.wav	neg_r_78.wav	2015-06-18_10.30.24.350000	124	0
72	0	0	l_nif_6.wav	neu_r_59.wav	2015-06-18_10.30.24.350000	125	0
72	0	1	neu_l_42.wav	r_tol_20.wav	2015-06-18_10.30.24.350000	126	1
72	1	0	neu_l_53.wav	pos_r_31.wav	2015-06-18_10.30.24.350000	127	0
72	0	0	neu_l_54.wav	neu_r_1.wav	2015-06-18_10.30.24.350000	128	0
72	0	0	neu_l_21.wav	neg_r_9.wav	2015-06-18_10.30.24.350000	129	1
72	0	0	neu_l_49.wav	neu_r_40.wav	2015-06-18_10.30.24.350000	130	0
72	0	1	neu_l_12.wav	r_tol_11.wav	2015-06-18_10.30.24.350000	131	1
72	1	0	neu_l_72.wav	neg_r_77.wav	2015-06-18_10.30.24.350000	132	0
72	0	0	neu_l_71.wav	neu_r_59.wav	2015-06-18_10.30.24.350000	133	0
72	0	1	l_tol_9.wav	neu_r_24.wav	2015-06-18_10.30.24.350000	134	1
72	0	0	l_lup_4.wav	neg_r_32.wav	2015-06-18_10.30.24.350000	135	0
72	0	0	l_nif_6.wav	neu_r_61.wav	2015-06-18_10.30.24.350000	136	0
72	0	1	neu_l_17.wav	r_tol_3.wav	2015-06-18_10.30.24.350000	137	1
72	1	0	neu_l_4.wav	pos_r_46.wav	2015-06-18_10.30.24.350000	138	0
72	0	0	neu_l_27.wav	neu_r_79.wav	2015-06-18_10.30.24.350000	139	0
72	0	1	neu_l_52.wav	r_tol_1.wav	2015-06-18_10.30.24.350000	140	1
72	1	0	neu_l_43.wav	neg_r_50.wav	2015-06-18_10.30.24.350000	141	0
72	0	0	neu_l_19.wav	neu_r_59.wav	2015-06-18_10.30.24.350000	142	0
72	0	1	neu_l_23.wav	r_tol_3.wav	2015-06-18_10.30.24.350000	143	1
72	1	0	neu_l_36.wav	pos_r_20.wav	2015-06-18_10.30.24.350000	144	0
72	0	0	neu_l_36.wav	neu_r_55.wav	2015-06-18_10.30.24.350000	145	0
72	0	1	neu_l_27.wav	r_tol_10.wav	2015-06-18_10.30.24.350000	146	1
72	1	0	neu_l_54.wav	neg_r_61.wav	2015-06-18_10.30.24.350000	147	0
72	0	0	neu_l_30.wav	neu_r_79.wav	2015-06-18_10.30.24.350000	148	0
72	0	1	neu_l_68.wav	r_tol_15.wav	2015-06-18_10.30.24.350000	149	1
72	1	0	neu_l_17.wav	pos_r_58.wav	2015-06-18_10.30.24.350000	150	0
72	0	0	neu_l_13.wav	neu_r_67.wav	2015-06-18_10.30.24.350000	151	0
72	0	0	neu_l_9.wav	neg_r_74.wav	2015-06-18_10.30.24.350000	152	1
72	0	0	neu_l_69.wav	neu_r_20.wav	2015-06-18_10.30.24.350000	153	0
72	0	1	neu_l_16.wav	r_tol_15.wav	2015-06-18_10.30.24.350000	154	1
72	1	0	neu_l_75.wav	pos_r_59.wav	2015-06-18_10.30.24.350000	155	0
72	0	0	neu_l_49.wav	neu_r_50.wav	2015-06-18_10.30.24.350000	156	0
72	0	1	l_tol_14.wav	neu_r_32.wav	2015-06-18_10.30.24.350000	157	1
72	0	0	l_lup_10.wav	neg_r_63.wav	2015-06-18_10.30.24.350000	158	0
72	0	0	l_nif_9.wav	neu_r_50.wav	2015-06-18_10.30.24.350000	159	0
72	0	1	neu_l_69.wav	r_tol_15.wav	2015-06-18_10.30.24.350000	160	1
72	0	0	neu_l_15.wav	pos_r_78.wav	2015-06-18_10.30.24.350000	161	0
72	0	0	neu_l_69.wav	neu_r_18.wav	2015-06-18_10.30.24.350000	162	0
72	0	1	l_tol_9.wav	neu_r_79.wav	2015-06-18_10.30.24.350000	163	1
72	0	0	l_lup_4.wav	neg_r_2.wav	2015-06-18_10.30.24.350000	164	0
72	0	0	l_nif_6.wav	neu_r_40.wav	2015-06-18_10.30.24.350000	165	0
72	0	1	neu_l_57.wav	r_tol_11.wav	2015-06-18_10.30.24.350000	166	1
72	1	0	neu_l_71.wav	neg_r_56.wav	2015-06-18_10.30.24.350000	167	0
72	0	0	neu_l_34.wav	neu_r_33.wav	2015-06-18_10.30.24.350000	168	0
72	0	1	neu_l_62.wav	r_tol_5.wav	2015-06-18_10.30.24.350000	169	1
72	1	0	neu_l_16.wav	neg_r_38.wav	2015-06-18_10.30.24.350000	170	0
72	0	0	neu_l_45.wav	neu_r_22.wav	2015-06-18_10.30.24.350000	171	0
72	0	1	neu_l_56.wav	r_tol_1.wav	2015-06-18_10.30.24.350000	172	1
72	1	0	neu_l_49.wav	neg_r_8.wav	2015-06-18_10.30.24.350000	173	0
72	0	0	neu_l_5.wav	neu_r_41.wav	2015-06-18_10.30.24.350000	174	0
72	0	0	neu_l_68.wav	pos_r_18.wav	2015-06-18_10.30.24.350000	175	1
72	0	0	neu_l_72.wav	neu_r_40.wav	2015-06-18_10.30.24.350000	176	0
72	0	1	neu_l_9.wav	r_tol_15.wav	2015-06-18_10.30.24.350000	177	1
72	1	0	neu_l_11.wav	pos_r_50.wav	2015-06-18_10.30.24.350000	178	0
72	0	0	neu_l_73.wav	neu_r_41.wav	2015-06-18_10.30.24.350000	179	0
72	0	1	neu_l_71.wav	r_tol_11.wav	2015-06-18_10.30.24.350000	180	1
72	1	0	neu_l_62.wav	neg_r_80.wav	2015-06-18_10.30.24.350000	181	0
72	0	0	neu_l_53.wav	neu_r_79.wav	2015-06-18_10.30.24.350000	182	0
72	0	1	neu_l_6.wav	r_tol_10.wav	2015-06-18_10.30.24.350000	183	1
72	1	0	neu_l_23.wav	neg_r_59.wav	2015-06-18_10.30.24.350000	184	0
72	0	0	neu_l_30.wav	neu_r_29.wav	2015-06-18_10.30.24.350000	185	0
72	0	1	neu_l_13.wav	r_tol_15.wav	2015-06-18_10.30.24.350000	186	1
72	1	0	neu_l_4.wav	pos_r_67.wav	2015-06-18_10.30.24.350000	187	0
72	0	0	neu_l_19.wav	neu_r_50.wav	2015-06-18_10.30.24.350000	188	0
72	0	1	neu_l_27.wav	r_tol_5.wav	2015-06-18_10.30.24.350000	189	1
72	1	0	neu_l_23.wav	neg_r_58.wav	2015-06-18_10.30.24.350000	190	0
72	0	0	neu_l_44.wav	neu_r_22.wav	2015-06-18_10.30.24.350000	191	0
