US	CS	Time	PCName	timeStamp
p89.wav	20b.png	153	methexp32	2017-10-12_13.31.51.791000
neu2.wav	29.png	158	methexp32	2017-10-12_13.31.51.791000
n50.wav	98b.png	153	methexp32	2017-10-12_13.31.51.791000
p89.wav	43.png	153	methexp32	2017-10-12_13.31.51.791000
p91.wav	43.png	153	methexp32	2017-10-12_13.31.51.791000
n13.wav	70b.png	250	methexp32	2017-10-12_13.31.51.791000
p73.wav	39b.png	250	methexp32	2017-10-12_13.31.51.791000
n11.wav	98b.png	153	methexp32	2017-10-12_13.31.51.791000
n13.wav	98b.png	153	methexp32	2017-10-12_13.31.51.791000
p22.wav	20b.png	153	methexp32	2017-10-12_13.31.51.791000
n40.wav	98b.png	153	methexp32	2017-10-12_13.31.51.791000
n14.wav	98b.png	153	methexp32	2017-10-12_13.31.51.791000
neu4.wav	50.png	170	methexp32	2017-10-12_13.31.51.791000
n46.wav	70b.png	250	methexp32	2017-10-12_13.31.51.791000
p22.wav	43.png	153	methexp32	2017-10-12_13.31.51.791000
p89.wav	39b.png	250	methexp32	2017-10-12_13.31.51.791000
neu10.wav	29.png	158	methexp32	2017-10-12_13.31.51.791000
n45.wav	81b.png	250	methexp32	2017-10-12_13.31.51.791000
n11.wav	68b.png	153	methexp32	2017-10-12_13.31.51.791000
neu10.wav	50.png	170	methexp32	2017-10-12_13.31.51.791000
n50.wav	68b.png	153	methexp32	2017-10-12_13.31.51.791000
n14.wav	81b.png	250	methexp32	2017-10-12_13.31.51.791000
p36.wav	39b.png	250	methexp32	2017-10-12_13.31.51.791000
n46.wav	81b.png	250	methexp32	2017-10-12_13.31.51.791000
p52.wav	43.png	153	methexp32	2017-10-12_13.31.51.791000
n30.wav	81b.png	250	methexp32	2017-10-12_13.31.51.791000
n31.wav	98b.png	153	methexp32	2017-10-12_13.31.51.791000
n13.wav	81b.png	250	methexp32	2017-10-12_13.31.51.791000
neu8.wav	50.png	170	methexp32	2017-10-12_13.31.51.791000
p23.wav	20b.png	153	methexp32	2017-10-12_13.31.51.791000
n13.wav	68b.png	153	methexp32	2017-10-12_13.31.51.791000
p52.wav	39b.png	250	methexp32	2017-10-12_13.31.51.791000
p91.wav	39b.png	250	methexp32	2017-10-12_13.31.51.791000
n50.wav	70b.png	250	methexp32	2017-10-12_13.31.51.791000
neu7.wav	29.png	158	methexp32	2017-10-12_13.31.51.791000
n46.wav	98b.png	153	methexp32	2017-10-12_13.31.51.791000
p23.wav	43.png	153	methexp32	2017-10-12_13.31.51.791000
n25.wav	81b.png	250	methexp32	2017-10-12_13.31.51.791000
n31.wav	81b.png	250	methexp32	2017-10-12_13.31.51.791000
neu5.wav	29.png	158	methexp32	2017-10-12_13.31.51.791000
n11.wav	81b.png	250	methexp32	2017-10-12_13.31.51.791000
neu2.wav	50.png	170	methexp32	2017-10-12_13.31.51.791000
