subject_nr,order,PAS,blocknr,trialnr,cs_filename,usval,type,cs_kategorie,cs_duration,us_filename,us_duration,premask_filename,premask_duration,postmask_filename,postmask_duration,visopt_15,visopt_14,visopt_13,visopt_12,visopt_11,visopt_10,visopt_9,visopt_8,visopt_7,visopt_6,visopt_5,visopt_4,visopt_3,visopt_2,visopt_1,visopt_15_resp,visopt_14_resp,visopt_13_resp,visopt_12_resp,visopt_11_resp,visopt_10_resp,visopt_9_resp,visopt_8_resp,visopt_7_resp,visopt_6_resp,visopt_5_resp,visopt_4_resp,visopt_3_resp,visopt_2_resp,visopt_1_resp,sicher1_resp,sicher2_resp,sicher3_resp,sicher4_resp,time_gesehen_form,time_sicher_form,time_trial_logger,csdur_A_prod,csdur_A_face,csdur_A_nonw,csdur_B_prod,csdur_B_face,csdur_B_nonw,csdur_C_prod,csdur_C_face,csdur_C_nonw,subjresp_A_prod_1,subjresp_A_prod_2,subjresp_A_prod_3,subjresp_A_prod_4,subjresp_A_face_1,subjresp_A_face_2,subjresp_A_face_3,subjresp_A_face_4,subjresp_A_nonw_1,subjresp_A_nonw_2,subjresp_A_nonw_3,subjresp_A_nonw_4,subjresp_B_prod_1,subjresp_B_prod_2,subjresp_B_prod_3,subjresp_B_prod_4,subjresp_B_face_1,subjresp_B_face_2,subjresp_B_face_3,subjresp_B_face_4,subjresp_B_nonw_1,subjresp_B_nonw_2,subjresp_B_nonw_3,subjresp_B_nonw_4,subjresp_C_prod_1,subjresp_C_prod_2,subjresp_C_prod_3,subjresp_C_prod_4,subjresp_C_face_1,subjresp_C_face_2,subjresp_C_face_3,subjresp_C_face_4,subjresp_C_nonw_1,subjresp_C_nonw_2,subjresp_C_nonw_3,subjresp_C_nonw_4
48,4,2,6,317,nw17.bmp,pos,nonword,C,100,2260.JPG,1000,maske_8.bmp,500,maske_7.bmp,900,cs13.bmp,cs5.bmp,cs20.bmp,cs6.bmp,cs22.bmp,M02_.bmp,W07.bmp,M14.bmp,W19.bmp,Mneu01_.bmp,nw17.bmp,nw20.bmp,nw28.bmp,nw19.bmp,nw21.bmp,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,NA,NA,NA,NA,1901104,NA,1903372,30,30,30,60,60,60,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,4,2,6,318,cs12.bmp,pos,product,B,60,1463.jpg,1000,maske_9.bmp,500,maske_11.bmp,940,cs16.bmp,cs11.bmp,cs9.bmp,cs14.bmp,cs12.bmp,nw11.bmp,nw23.bmp,nw7.bmp,nw22.bmp,nw27.bmp,W17.bmp,M16_.bmp,M13.bmp,PM04.bmp,Mneu04_.bmp,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,NA,NA,NA,NA,1906262,NA,1908366,30,30,30,60,60,60,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,4,2,6,319,Mneu24_.bmp,neg,face,B,60,9331.jpg,1000,maske_2.bmp,500,maske_1.bmp,940,nw3.bmp,nw4.bmp,nw18.bmp,nw2.bmp,nw13.bmp,cs19.bmp,cs17.bmp,cs23.bmp,cs2.bmp,cs28.bmp,Wneu01_.bmp,W03.bmp,Mneu18_.bmp,Mneu25_.bmp,Mneu24_.bmp,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,NA,NA,NA,NA,1911368,NA,1914820,30,30,30,60,60,60,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,4,2,6,320,cs30.bmp,pos,product,A,30,2260.JPG,1000,maske_2.bmp,500,maske_4.bmp,970,W20.bmp,W15.bmp,M12.bmp,Mneu05_.bmp,Mneu20_.bmp,nw14.bmp,nw29.bmp,nw10.bmp,nw15.bmp,nw26.bmp,cs26.bmp,cs8.bmp,cs27.bmp,cs30.bmp,cs21.bmp,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,NA,NA,NA,NA,1917692,NA,1937141,30,30,30,60,60,60,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,4,2,6,321,cs14.bmp,pos,product,B,60,5910.JPG,1000,maske_5.bmp,500,maske_9.bmp,940,cs11.bmp,cs9.bmp,cs16.bmp,cs12.bmp,cs14.bmp,M16_.bmp,PM04.bmp,Mneu04_.bmp,M13.bmp,W17.bmp,nw27.bmp,nw23.bmp,nw11.bmp,nw22.bmp,nw7.bmp,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,NA,NA,NA,NA,1940263,NA,1941747,30,30,30,60,60,60,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,4,2,6,322,nw20.bmp,pos,nonword,C,100,2091.jpg,1000,maske_4.bmp,500,maske_1.bmp,900,M02_.bmp,M14.bmp,W07.bmp,Mneu01_.bmp,W19.bmp,nw20.bmp,nw28.bmp,nw17.bmp,nw19.bmp,nw21.bmp,cs5.bmp,cs13.bmp,cs20.bmp,cs22.bmp,cs6.bmp,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,NA,NA,NA,NA,1944612,NA,1947129,30,30,30,60,60,60,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,4,2,6,323,W15.bmp,pos,face,A,30,1440.jpg,1000,maske_3.bmp,500,maske_6.bmp,970,W20.bmp,M12.bmp,W15.bmp,Mneu20_.bmp,Mneu05_.bmp,cs21.bmp,cs30.bmp,cs27.bmp,cs26.bmp,cs8.bmp,nw15.bmp,nw26.bmp,nw10.bmp,nw29.bmp,nw14.bmp,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,NA,NA,NA,NA,1950023,NA,1952189,30,30,30,60,60,60,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,4,2,7,324,nw11.bmp,pos,nonword,B,60,8420.JPG,1000,maske_11.bmp,500,maske_8.bmp,940,cs11.bmp,cs14.bmp,cs12.bmp,cs16.bmp,cs9.bmp,nw7.bmp,nw11.bmp,nw22.bmp,nw27.bmp,nw23.bmp,M13.bmp,W17.bmp,M16_.bmp,PM04.bmp,Mneu04_.bmp,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,NA,NA,NA,NA,1970158,NA,1972555,30,30,30,60,60,60,90,90,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,4,2,7,325,cs9.bmp,pos,product,B,60,2340.JPG,1000,maske_1.bmp,500,maske_9.bmp,940,PM04.bmp,M16_.bmp,W17.bmp,Mneu04_.bmp,M13.bmp,nw7.bmp,nw11.bmp,nw22.bmp,nw23.bmp,nw27.bmp,cs12.bmp,cs16.bmp,cs14.bmp,cs9.bmp,cs11.bmp,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,NA,NA,NA,NA,1975417,NA,1980334,30,30,30,60,60,60,90,90,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,4,2,7,326,Wneu01_.bmp,neg,face,B,60,9530.JPG,1000,maske_7.bmp,500,maske_9.bmp,940,cs2.bmp,cs17.bmp,cs19.bmp,cs23.bmp,cs28.bmp,nw13.bmp,nw2.bmp,nw3.bmp,nw4.bmp,nw18.bmp,Wneu01_.bmp,Mneu24_.bmp,Mneu18_.bmp,W03.bmp,Mneu25_.bmp,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,NA,NA,NA,NA,1983217,NA,1985152,30,30,30,60,60,60,90,90,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
