phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,276,2,9,1,NA,NA,NA,5870.JPG,9000.JPG,0,None,None,None,None
trials,276,2,10,1,4,neutral,acquisition,9.png,7002.JPG,0,None,None,None,None
trials,276,2,11,1,4,positive,extinction,18.png,empty.png,0,None,None,None,None
trials,276,2,12,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,13,1,5,negative,extinction,5.png,empty.png,0,None,None,None,None
trials,276,2,14,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,15,1,4,neutral,acquisition,17.png,7009.JPG,0,None,None,None,None
trials,276,2,16,1,NA,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,276,2,17,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,18,1,4,negative,extinction,20.png,empty.png,0,None,None,None,None
trials,276,2,19,1,NA,NA,NA,22.png,19.png,0,None,None,None,None
trials,276,2,20,1,5,neutral,acquisition,26.png,7006.JPG,0,None,None,None,None
trials,276,2,21,1,4,neutral,extinction,12.png,empty.png,0,None,None,None,None
trials,276,2,22,1,NA,NA,NA,5250.JPG,empty.png,0,None,None,None,None
trials,276,2,23,1,5,negative,acquisition,3.png,2141.JPG,0,None,None,None,None
trials,276,2,24,1,5,neutral,acquisition,17.png,7009.JPG,0,None,None,None,None
trials,276,2,25,1,4,positive,acquisition,24.png,1540.JPG,0,None,None,None,None
trials,276,2,26,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,27,1,6,negative,extinction,5.png,empty.png,0,None,None,None,None
trials,276,2,28,1,4,positive,acquisition,21.png,1500.JPG,0,None,None,None,None
trials,276,2,29,1,5,neutral,extinction,4.png,empty.png,0,None,None,None,None
trials,276,2,30,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,31,1,NA,NA,NA,empty.png,13.png,0,None,None,None,None
trials,276,2,32,1,5,positive,acquisition,24.png,1540.JPG,0,None,None,None,None
trials,276,2,33,1,5,positive,acquisition,21.png,1500.JPG,0,None,None,None,None
trials,276,2,34,1,5,positive,extinction,18.png,empty.png,0,None,None,None,None
trials,276,2,35,1,NA,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,276,2,36,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,37,1,NA,NA,NA,25.png,6.png,0,None,None,None,None
trials,276,2,38,1,6,neutral,acquisition,26.png,7006.JPG,0,None,None,None,None
trials,276,2,39,1,4,positive,extinction,10.png,empty.png,0,None,None,None,None
trials,276,2,40,1,4,neutral,extinction,11.png,empty.png,0,None,None,None,None
trials,276,2,41,1,6,neutral,extinction,4.png,empty.png,0,None,None,None,None
trials,276,2,42,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,43,1,5,neutral,extinction,11.png,empty.png,0,None,None,None,None
trials,276,2,44,1,5,negative,acquisition,1.png,2750.JPG,0,None,None,None,None
trials,276,2,45,1,NA,NA,NA,22.png,19.png,0,None,None,None,None
trials,276,2,46,1,NA,NA,NA,empty.png,5780.JPG,0,None,None,None,None
trials,276,2,47,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,48,1,NA,NA,NA,5720.JPG,9280.JPG,0,None,None,None,None
trials,276,2,49,1,NA,NA,NA,15.png,empty.png,0,None,None,None,None
trials,276,2,50,1,NA,NA,NA,27.png,2.png,0,None,None,None,None
trials,276,2,51,1,NA,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,276,2,52,1,5,positive,extinction,23.png,empty.png,0,None,None,None,None
trials,276,2,53,1,6,neutral,acquisition,17.png,7009.JPG,0,None,None,None,None
trials,276,2,54,1,NA,NA,NA,5720.JPG,9280.JPG,0,None,None,None,None
trials,276,2,55,1,5,positive,extinction,10.png,empty.png,0,None,None,None,None
trials,276,2,56,1,5,neutral,acquisition,9.png,7002.JPG,0,None,None,None,None
trials,276,2,57,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,58,1,NA,NA,NA,empty.png,13.png,0,None,None,None,None
trials,276,2,59,1,6,neutral,extinction,11.png,empty.png,0,None,None,None,None
trials,276,2,60,1,6,positive,extinction,18.png,empty.png,0,None,None,None,None
trials,276,2,61,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,62,1,4,negative,extinction,7.png,empty.png,0,None,None,None,None
trials,276,2,63,1,5,negative,acquisition,8.png,9331.JPG,0,None,None,None,None
trials,276,2,64,1,NA,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,276,2,65,1,NA,NA,NA,25.png,6.png,0,None,None,None,None
trials,276,2,66,1,NA,NA,NA,empty.png,13.png,0,None,None,None,None
trials,276,2,67,1,7,neutral,acquisition,17.png,7009.JPG,1,0,0,10,None
trials,276,2,68,1,5,negative,extinction,7.png,empty.png,0,None,None,None,None
trials,276,2,69,1,5,neutral,extinction,12.png,empty.png,0,None,None,None,None
trials,276,2,70,1,6,positive,extinction,23.png,empty.png,0,None,None,None,None
trials,276,2,71,1,5,positive,acquisition,14.png,1604.JPG,0,None,None,None,None
trials,276,2,72,1,NA,NA,NA,empty.png,5250.JPG,0,None,None,None,None
trials,276,2,73,1,6,neutral,extinction,12.png,empty.png,0,None,None,None,None
trials,276,2,74,1,6,neutral,acquisition,9.png,7002.JPG,0,None,None,None,None
trials,276,2,75,1,6,negative,extinction,7.png,empty.png,0,None,None,None,None
trials,276,2,76,1,6,negative,acquisition,8.png,9331.JPG,0,None,None,None,None
trials,276,2,77,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,78,1,7,neutral,extinction,4.png,empty.png,0,None,None,None,None
trials,276,2,79,1,NA,NA,NA,empty.png,5250.JPG,0,None,None,None,None
trials,276,2,80,1,6,positive,acquisition,21.png,1500.JPG,0,None,None,None,None
trials,276,2,81,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,82,1,5,negative,extinction,20.png,empty.png,0,None,None,None,None
trials,276,2,83,1,6,positive,acquisition,14.png,1604.JPG,0,None,None,None,None
trials,276,2,84,1,NA,NA,NA,16.png,empty.png,0,None,None,None,None
trials,276,2,85,1,NA,NA,NA,empty.png,16.png,0,None,None,None,None
trials,276,2,86,1,NA,NA,NA,empty.png,5970.JPG,0,None,None,None,None
trials,276,2,87,1,6,negative,extinction,20.png,empty.png,0,None,None,None,None
trials,276,2,88,1,NA,NA,NA,empty.png,15.png,0,None,None,None,None
trials,276,2,89,1,7,positive,acquisition,14.png,1604.JPG,0,None,None,None,None
trials,276,2,90,1,7,positive,extinction,23.png,empty.png,0,None,None,None,None
trials,276,2,91,1,7,positive,extinction,18.png,empty.png,1,1,7,0,None
trials,276,2,92,1,6,positive,acquisition,24.png,1540.JPG,0,None,None,None,None
trials,276,2,93,1,6,negative,acquisition,1.png,2750.JPG,0,None,None,None,None
trials,276,2,94,1,NA,NA,NA,5870.JPG,9000.JPG,0,None,None,None,None
trials,276,2,95,1,6,negative,acquisition,3.png,2141.JPG,0,None,None,None,None
trials,276,2,96,1,NA,NA,NA,27.png,2.png,0,None,None,None,None
trials,276,2,97,1,NA,NA,NA,22.png,19.png,0,None,None,None,None
trials,276,2,98,1,7,negative,extinction,20.png,empty.png,1,0,0,0,None
trials,276,2,99,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,100,1,NA,NA,NA,5780.JPG,empty.png,0,None,None,None,None
trials,276,2,101,1,NA,NA,NA,15.png,empty.png,0,None,None,None,None
trials,276,2,102,1,NA,NA,NA,25.png,6.png,0,None,None,None,None
trials,276,2,103,1,7,negative,extinction,5.png,empty.png,0,None,None,None,None
trials,276,2,104,1,6,positive,extinction,10.png,empty.png,0,None,None,None,None
trials,276,2,105,1,7,neutral,extinction,12.png,empty.png,1,1,0,0,None
trials,276,2,106,1,NA,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,276,2,107,1,7,positive,acquisition,21.png,1500.JPG,1,0,10,0,None
trials,276,2,108,1,7,negative,acquisition,8.png,9331.JPG,0,None,None,None,None
trials,276,2,109,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,110,1,7,neutral,acquisition,26.png,7006.JPG,0,None,None,None,None
trials,276,2,111,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,112,1,7,negative,acquisition,3.png,2141.JPG,1,0,0,10,None
trials,276,2,113,1,NA,NA,NA,16.png,empty.png,0,None,None,None,None
trials,276,2,114,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,1,1,8,neutral,acquisition,26.png,7006.JPG,0,None,None,None,None
trials,276,3,2,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,3,1,8,positive,acquisition,21.png,1500.JPG,0,None,None,None,None
trials,276,3,4,1,NA,NA,NA,27.png,2.png,0,None,None,None,None
trials,276,3,5,1,7,neutral,acquisition,9.png,7002.JPG,0,None,None,None,None
trials,276,3,6,1,7,positive,acquisition,24.png,1540.JPG,0,None,None,None,None
trials,276,3,7,1,NA,NA,NA,13.png,empty.png,0,None,None,None,None
trials,276,3,8,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,9,1,7,negative,acquisition,1.png,2750.JPG,0,None,None,None,None
trials,276,3,10,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,11,1,8,neutral,extinction,12.png,empty.png,0,None,None,None,None
trials,276,3,12,1,NA,NA,NA,15.png,empty.png,0,None,None,None,None
trials,276,3,13,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,14,1,8,neutral,acquisition,17.png,7009.JPG,0,None,None,None,None
trials,276,3,15,1,NA,NA,NA,25.png,6.png,0,None,None,None,None
trials,276,3,16,1,NA,NA,NA,27.png,2.png,0,None,None,None,None
trials,276,3,17,1,NA,NA,NA,25.png,6.png,0,None,None,None,None
trials,276,3,18,1,NA,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,276,3,19,1,8,neutral,acquisition,9.png,7002.JPG,0,None,None,None,None
trials,276,3,20,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,21,1,NA,NA,NA,5870.JPG,9000.JPG,0,None,None,None,None
trials,276,3,22,1,7,neutral,extinction,11.png,empty.png,0,None,None,None,None
trials,276,3,23,1,NA,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,276,3,24,1,NA,NA,NA,5250.JPG,empty.png,0,None,None,None,None
trials,276,3,25,1,8,negative,acquisition,3.png,2141.JPG,0,None,None,None,None
trials,276,3,26,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,27,1,8,positive,extinction,23.png,empty.png,0,None,None,None,None
trials,276,3,28,1,8,positive,acquisition,14.png,1604.JPG,0,None,None,None,None
trials,276,3,29,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,30,1,8,neutral,extinction,11.png,empty.png,0,None,None,None,None
trials,276,3,31,1,7,negative,extinction,7.png,empty.png,0,None,None,None,None
trials,276,3,32,1,NA,NA,NA,22.png,19.png,0,None,None,None,None
trials,276,3,33,1,NA,NA,NA,13.png,empty.png,0,None,None,None,None
trials,276,3,34,1,9,neutral,acquisition,9.png,7002.JPG,0,None,None,None,None
trials,276,3,35,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,36,1,NA,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,276,3,37,1,8,negative,extinction,7.png,empty.png,0,None,None,None,None
trials,276,3,38,1,9,neutral,acquisition,17.png,7009.JPG,0,None,None,None,None
trials,276,3,39,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,40,1,NA,NA,NA,empty.png,5780.JPG,0,None,None,None,None
trials,276,3,41,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,42,1,8,negative,extinction,20.png,empty.png,0,None,None,None,None
trials,276,3,43,1,8,neutral,extinction,4.png,empty.png,0,None,None,None,None
trials,276,3,44,1,NA,NA,NA,empty.png,16.png,0,None,None,None,None
trials,276,3,45,1,9,negative,acquisition,3.png,2141.JPG,0,None,None,None,None
trials,276,3,46,1,NA,NA,NA,15.png,empty.png,0,None,None,None,None
trials,276,3,47,1,9,neutral,extinction,11.png,empty.png,0,None,None,None,None
trials,276,3,48,1,7,positive,extinction,10.png,empty.png,0,None,None,None,None
trials,276,3,49,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,50,1,NA,NA,NA,16.png,empty.png,0,None,None,None,None
trials,276,3,51,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,52,1,8,negative,extinction,5.png,empty.png,0,None,None,None,None
trials,276,3,53,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,54,1,8,negative,acquisition,1.png,2750.JPG,0,None,None,None,None
trials,276,3,55,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,56,1,9,negative,extinction,7.png,empty.png,0,None,None,None,None
trials,276,3,57,1,9,positive,acquisition,21.png,1500.JPG,0,None,None,None,None
trials,276,3,58,1,9,neutral,acquisition,26.png,7006.JPG,0,None,None,None,None
trials,276,3,59,1,9,positive,acquisition,14.png,1604.JPG,0,None,None,None,None
trials,276,3,60,1,9,positive,extinction,23.png,empty.png,0,None,None,None,None
trials,276,3,61,1,NA,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,276,3,62,1,10,negative,extinction,7.png,empty.png,1,0,0,0,None
trials,276,3,63,1,8,positive,acquisition,24.png,1540.JPG,0,None,None,None,None
trials,276,3,64,1,9,negative,acquisition,1.png,2750.JPG,0,None,None,None,None
trials,276,3,65,1,9,neutral,extinction,4.png,empty.png,0,None,None,None,None
trials,276,3,66,1,8,positive,extinction,10.png,empty.png,0,None,None,None,None
trials,276,3,67,1,NA,NA,NA,5250.JPG,empty.png,0,None,None,None,None
trials,276,3,68,1,9,neutral,extinction,12.png,empty.png,0,None,None,None,None
trials,276,3,69,1,NA,NA,NA,22.png,19.png,0,None,None,None,None
trials,276,3,70,1,NA,NA,NA,5780.JPG,empty.png,0,None,None,None,None
trials,276,3,71,1,10,positive,extinction,23.png,empty.png,0,None,None,None,None
trials,276,3,72,1,10,neutral,extinction,4.png,empty.png,0,None,None,None,None
trials,276,3,73,1,NA,NA,NA,5720.JPG,9280.JPG,0,None,None,None,None
trials,276,3,74,1,8,negative,acquisition,8.png,9331.JPG,0,None,None,None,None
trials,276,3,75,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,76,1,10,neutral,acquisition,26.png,7006.JPG,0,None,None,None,None
trials,276,3,77,1,NA,NA,NA,5720.JPG,9280.JPG,0,None,None,None,None
trials,276,3,78,1,10,neutral,acquisition,9.png,7002.JPG,1,0,0,10,None
trials,276,3,79,1,9,positive,extinction,10.png,empty.png,0,None,None,None,None
trials,276,3,80,1,NA,NA,NA,5870.JPG,9000.JPG,0,None,None,None,None
trials,276,3,81,1,NA,NA,NA,25.png,6.png,0,None,None,None,None
trials,276,3,82,1,10,negative,acquisition,1.png,2750.JPG,1,0,0,7,None
