experiment	subject	block	trial	order	material	repeated	related	probetype	response	correct	rt	math_response	math_correctresponse	math_correct	math_rt	confidence	confidence_rt	probe	item1	item2	item3	item4	item5	item6	age	sex	handedness	color_vision	mother_tongue	occupation
FAUST_1[2014-06]	37	2	11	2	3	2	1	2	2	1	3087	1	1	1	2128	2	2972	carriage_3.bmp	carriage_12.bmp	vase_6.bmp	carriage_12.bmp	vase_5.bmp	vase_13.bmp	vase_1.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	32	2	3	1	2	2	2	1	3066	1	1	1	2389	2	5783	horseshoe_12.bmp	horseshoe_6.bmp	goggle_9.bmp	horseshoe_3.bmp	goggle_9.bmp	horseshoe_5.bmp	horseshoe_4.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	7	2	3	2	2	2	1	0	2688	1	1	1	1294	2	8073	windchime_10.bmp	watch_8.bmp	windchime_15.bmp	windchime_3.bmp	windchime_16.bmp	windchime_6.bmp	windchime_15.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	6	2	3	1	1	2	2	1	3217	1	1	1	1243	3	1873	tricycle_2.bmp	beanbagchair_12.bmp	beanbagchair_17.bmp	beanbagchair_15.bmp	tricycle_5.bmp	beanbagchair_12.bmp	beanbagchair_3.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	12	2	3	2	1	2	2	1	4012	1	1	1	1766	1	1853	trumpet_5.bmp	trumpet_1.bmp	trophy_6.bmp	trophy_14.bmp	trumpet_1.bmp	trophy_16.bmp	trophy_4.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	23	2	3	1	2	2	2	1	2960	2	2	1	1127	3	1548	bowlingpin_1.bmp	bowlingpin_13.bmp	bowlingpin_4.bmp	bowlingpin_11.bmp	wig_12.bmp	bowlingpin_3.bmp	wig_12.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	17	2	3	2	2	2	1	0	3218	2	1	0	1085	3	2580	hairdryer_14.bmp	hairdryer_12.bmp	hairdryer_2.bmp	mic_12.bmp	hairdryer_7.bmp	hairdryer_12.bmp	hairdryer_13.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	26	2	3	1	1	2	1	0	3360	2	2	1	1675	1	2014	cat_5.bmp	saltpeppershake_17.bmp	saltpeppershake_12.bmp	saltpeppershake_9.bmp	saltpeppershake_12.bmp	saltpeppershake_2.bmp	cat_1.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	1	2	3	2	1	2	1	0	2569	1	1	1	2249	4	2478	circuitboard_13.bmp	socks_15.bmp	circuitboard_8.bmp	socks_13.bmp	socks_4.bmp	circuitboard_8.bmp	socks_12.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	3	2	3	1	2	2	1	0	3022	2	2	1	1870	3	2021	printer_16.bmp	sofa_9.bmp	printer_5.bmp	printer_1.bmp	printer_3.bmp	printer_14.bmp	sofa_9.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	24	2	3	2	2	2	2	1	2579	2	1	0	2063	3	3188	skateboard_3.bmp	skateboard_14.bmp	skateboard_15.bmp	coffee_14.bmp	skateboard_14.bmp	skateboard_16.bmp	skateboard_11.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	13	2	3	1	1	3	2	1	2554	1	1	1	1100	4	3077	plant_8.bmp	saddle_8.bmp	saddle_5.bmp	saddle_3.bmp	saddle_15.bmp	saddle_5.bmp	chair_3.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	5	2	3	2	1	3	2	1	1116	1	1	1	1676	4	1123	babycrib_9.bmp	turtle_2.bmp	garbagecan_2.bmp	garbagecan_17.bmp	garbagecan_8.bmp	garbagecan_13.bmp	turtle_2.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	30	2	3	1	1	3	2	1	1230	2	1	0	1428	4	2226	leatherman_2.bmp	rusdoll_1.bmp	rusdoll_3.bmp	rusdoll_6.bmp	rusdoll_8.bmp	sink_6.bmp	rusdoll_8.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	16	2	3	2	1	3	2	1	1757	2	2	1	2620	4	1060	glasses_8.bmp	camera_3.bmp	jacket_13.bmp	jacket_7.bmp	camera_3.bmp	jacket_11.bmp	jacket_6.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	8	2	3	1	1	3	2	1	2359	1	1	1	2131	4	1413	orifan_14.bmp	doorknocker_14.bmp	backpack_13.bmp	backpack_16.bmp	backpack_6.bmp	backpack_16.bmp	backpack_10.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	2	2	3	2	1	3	2	1	1155	1	1	1	1792	4	1954	watergun_3.bmp	rollerskates_7.bmp	flashlight_13.bmp	rollerskates_7.bmp	flashlight_12.bmp	flashlight_2.bmp	flashlight_17.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	27	2	3	1	1	3	2	1	1595	1	1	1	2272	4	1397	glove_15.bmp	scooter_5.bmp	scooter_4.bmp	scooter_10.bmp	router_7.bmp	scooter_11.bmp	scooter_10.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	25	2	3	2	1	3	2	1	1083	1	1	1	2531	4	1252	shoe_15.bmp	trunk_5.bmp	cellphone_4.bmp	trunk_2.bmp	trunk_7.bmp	cellphone_4.bmp	trunk_3.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	10	2	2	1	1	1	1	1	2940	2	2	1	1140	3	2614	Daff21.bmp	Apple5.bmp	Apple21.bmp	Apple24.bmp	Apple21.bmp	Daff21.bmp	Apple10.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	13	2	2	2	1	1	1	1	1109	2	2	1	1398	4	1576	Cake24.bmp	Cake24.bmp	Coins8.bmp	Coins3.bmp	Coins12.bmp	Cake24.bmp	Coins14.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	4	2	2	1	2	1	1	1	2752	1	1	1	1894	4	2186	Present3.bmp	Present17.bmp	Present3.bmp	Plug6.bmp	Present9.bmp	Plug6.bmp	Present2.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	19	2	2	2	2	1	1	1	2727	2	1	0	1047	4	1459	Bag5.bmp	Bag5.bmp	Bag3.bmp	Bag21.bmp	Bag5.bmp	Bag4.bmp	Fudge20.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	17	2	2	1	1	1	2	0	5452	1	1	1	2901	3	2854	Hanger12.bmp	Sweet18.bmp	Sweet22.bmp	Sweet1.bmp	Hanger12.bmp	Sweet18.bmp	Sweet10.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	22	2	2	2	1	1	1	1	3314	2	2	1	1167	1	1698	Flower18.bmp	Flower18.bmp	Swirl5.bmp	Swirl1.bmp	Flower18.bmp	Swirl10.bmp	Swirl13.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	7	2	2	1	2	1	1	1	1241	1	1	1	907	4	1635	Pear4.bmp	Leaf15.bmp	Pear16.bmp	Leaf15.bmp	Pear18.bmp	Pear15.bmp	Pear4.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	15	2	2	2	2	1	1	1	1172	1	1	1	1481	3	2822	Shell9.bmp	Shell1.bmp	Shell9.bmp	Shell17.bmp	Screw18.bmp	Shell9.bmp	Shell5.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	2	2	2	1	1	2	2	1	3982	2	2	1	1933	4	1686	Bracelet18.bmp	Key5.bmp	Key13.bmp	Key20.bmp	Key13.bmp	Bracelet5.bmp	Key11.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	12	2	2	2	1	2	2	1	2407	1	1	1	1019	4	3831	Mushroom7.bmp	Mushroom14.bmp	Ginger5.bmp	Ginger3.bmp	Ginger15.bmp	Mushroom14.bmp	Ginger10.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	20	2	2	1	2	2	1	0	1822	2	2	1	1834	3	2109	Tomato12.bmp	Tomato3.bmp	Tomato5.bmp	Tomato2.bmp	Onion14.bmp	Tomato18.bmp	Onion14.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
