trialnr,blocknr,cs_filename,usval,cs_duration,us_filename,us_duration,premask_filename,premask_duration,postmask_filename,postmask_duration,vis_option_6,vis_option_5,vis_option_4,vis_option_3,vis_option_2,vis_option_1  
121,2,cs18.bmp,neg,30,9340.JPG,1000,maske_5.bmp,500,maske_8.bmp,970,cs27.bmp,cs8.bmp,cs13.bmp,cs18.bmp,cs19.bmp,cs6.bmp
241,2,cs1.bmp,neu,30,7620.JPG,1000,maske_5.bmp,500,maske_4.bmp,970,7090.jpg,7620.JPG,2575.jpg,5731.jpg,7004.jpg,5395.jpg
19,2,cs26.bmp,pos,30,8540.JPG,1000,maske_11.bmp,500,maske_7.bmp,970,cs5.bmp,cs15.bmp,cs2.bmp,cs26.bmp,cs10.bmp,cs21.bmp
307,2,cs24.bmp,neu,30,8211.jpg,1000,maske_2.bmp,500,maske_12.bmp,970,2220.jpg,7640.jpg,5920.JPG,8211.jpg,7090.jpg,2580.jpg
49,2,cs20.bmp,pos,30,2340.JPG,1000,maske_10.bmp,500,maske_9.bmp,970,cs26.bmp,cs20.bmp,cs21.bmp,cs22.bmp,cs14.bmp,cs15.bmp
145,2,cs11.bmp,neg,30,9342.jpg,1000,maske_5.bmp,500,maske_9.bmp,970,cs27.bmp,cs30.bmp,cs8.bmp,cs11.bmp,cs25.bmp,cs6.bmp
115,2,cs4.bmp,pos,900,1750.JPG,1000,maske_3.bmp,500,maske_10.bmp,100,cs2.bmp,cs23.bmp,cs4.bmp,cs26.bmp,cs28.bmp,cs5.bmp
217,2,cs13.bmp,neg,900,2455.jpg,1000,maske_2.bmp,500,maske_8.bmp,100,cs8.bmp,cs12.bmp,cs19.bmp,cs13.bmp,cs27.bmp,cs30.bmp
235,2,cs27.bmp,neg,900,9000.jpg,1000,maske_9.bmp,500,maske_12.bmp,100,cs13.bmp,cs8.bmp,cs25.bmp,cs6.bmp,cs18.bmp,cs27.bmp
163,2,cs25.bmp,neg,30,2276.jpg,1000,maske_2.bmp,500,maske_5.bmp,970,cs19.bmp,cs30.bmp,cs17.bmp,cs7.bmp,cs13.bmp,cs25.bmp
283,2,cs3.bmp,neu,900,2635.jpg,1000,maske_10.bmp,500,maske_6.bmp,100,1313.jpg,5920.JPG,1121.jpg,5455.jpg,2635.jpg,7233.jpg
229,2,cs27.bmp,neg,900,9007.jpg,1000,maske_7.bmp,500,maske_10.bmp,100,cs12.bmp,cs27.bmp,cs19.bmp,cs7.bmp,cs25.bmp,cs18.bmp
205,2,cs8.bmp,neg,100,9320.jpg,1000,maske_5.bmp,500,maske_11.bmp,900,cs6.bmp,cs8.bmp,cs27.bmp,cs13.bmp,cs18.bmp,cs7.bmp
31,2,cs22.bmp,pos,30,2080.jpg,1000,maske_9.bmp,500,maske_12.bmp,970,cs2.bmp,cs28.bmp,cs22.bmp,cs14.bmp,cs15.bmp,cs4.bmp
133,2,cs6.bmp,neg,30,2276.jpg,1000,maske_1.bmp,500,maske_9.bmp,970,cs18.bmp,cs6.bmp,cs19.bmp,cs25.bmp,cs17.bmp,cs12.bmp
73,2,cs21.bmp,pos,100,2341.jpg,1000,maske_4.bmp,500,maske_3.bmp,900,cs14.bmp,cs2.bmp,cs22.bmp,cs21.bmp,cs10.bmp,cs20.bmp
157,2,cs25.bmp,neg,30,9280.jpg,1000,maske_6.bmp,500,maske_8.bmp,970,cs25.bmp,cs27.bmp,cs6.bmp,cs18.bmp,cs7.bmp,cs19.bmp
25,2,cs22.bmp,pos,30,2660.jpg,1000,maske_2.bmp,500,maske_9.bmp,970,cs2.bmp,cs4.bmp,cs15.bmp,cs22.bmp,cs23.bmp,cs5.bmp
289,2,cs24.bmp,neu,30,7490.jpg,1000,maske_3.bmp,500,maske_4.bmp,970,4631.JPG,5455.jpg,7490.jpg,7187.jpg,7820.jpg,5920.JPG
91,2,cs14.bmp,pos,100,1463.jpg,1000,maske_2.bmp,500,maske_1.bmp,900,cs4.bmp,cs15.bmp,cs23.bmp,cs5.bmp,cs20.bmp,cs14.bmp
169,2,cs17.bmp,neg,30,9280.jpg,1000,maske_12.bmp,500,maske_2.bmp,970,cs30.bmp,cs17.bmp,cs27.bmp,cs12.bmp,cs11.bmp,cs18.bmp
127,2,cs7.bmp,neg,30,9041.jpg,1000,maske_9.bmp,500,maske_2.bmp,970,cs30.bmp,cs7.bmp,cs27.bmp,cs19.bmp,cs12.bmp,cs17.bmp
259,2,cs1.bmp,neu,30,3550.2.jpg,1000,maske_3.bmp,500,maske_2.bmp,970,2220.jpg,5455.jpg,4631.JPG,2487.jpg,7080.jpg,3550.2.jpg
103,2,cs28.bmp,pos,900,2660.jpg,1000,maske_2.bmp,500,maske_12.bmp,100,cs15.bmp,cs28.bmp,cs10.bmp,cs14.bmp,cs4.bmp,cs26.bmp
313,2,cs29.bmp,neu,100,2220.jpg,1000,maske_6.bmp,500,maske_3.bmp,900,7211.jpg,7820.jpg,7620.JPG,1935.jpg,2220.jpg,7004.jpg
109,2,cs4.bmp,pos,900,2071.jpg,1000,maske_2.bmp,500,maske_3.bmp,100,cs21.bmp,cs23.bmp,cs22.bmp,cs4.bmp,cs26.bmp,cs28.bmp
211,2,cs8.bmp,neg,100,2455.jpg,1000,maske_10.bmp,500,maske_3.bmp,900,cs30.bmp,cs19.bmp,cs27.bmp,cs6.bmp,cs17.bmp,cs8.bmp
277,2,cs3.bmp,neu,900,2575.jpg,1000,maske_7.bmp,500,maske_10.bmp,100,7000.jpg,2620.jpg,2580.jpg,1935.jpg,2575.jpg,1313.jpg
170,3,cs17.bmp,neg,30,9342.jpg,1000,maske_8.bmp,500,maske_12.bmp,970,cs13.bmp,cs19.bmp,cs11.bmp,cs6.bmp,cs17.bmp,cs8.bmp
