subject_nr,blocknr,cs_filename_usmem,valmem_response_angenehm,valmem_response_unangenehm,valmem_response_neu,usmem_option_1,usmem_option_2,usmem_option_3,usmem_option_4,usmem_option_5,usmem_option_6,usmem_resp1,usmem_resp2,usmem_resp3,usmem_resp4,usmem_resp5,usmem_resp6,time_valmem_form,time_usmem_form,time_valmem_blank
1,6,cs8.bmp,no,yes,no,us_neg_34.bmp,us_neg_16.bmp,us_neg_6.bmp,us_neg_1.bmp,us_neg_33.bmp,us_neg_2.bmp,no,no,no,no,yes,no,177911,178435,179031
1,6,cs16.bmp,yes,no,no,us_neu_33.bmp,us_neu_19.bmp,us_neu_11.bmp,us_neu_22.bmp,us_neu_5.bmp,us_neu_29.bmp,no,no,no,yes,no,no,179578,180067,180622
1,6,cs14.bmp,no,yes,no,us_neu_20.bmp,us_neu_8.bmp,us_neu_35.bmp,us_neu_14.bmp,us_neu_24.bmp,us_neu_12.bmp,no,no,no,no,yes,no,181179,181648,182278
subject_nr,cs_filename_usmem,valmem_response_angenehm,valmem_response_unangenehm,valmem_response_neu,usmem_option_1,usmem_option_2,usmem_option_3,usmem_option_4,usmem_option_5,usmem_option_6,usmem_resp1,usmem_resp2,usmem_resp3,usmem_resp4,usmem_resp5,usmem_resp6,time_valmem_form,time_valmem_delay,time_usmem_form,time_usmem_delay
1,cs18.bmp,yes,no,no,us_neg_23.bmp,us_neg_35.bmp,us_neg_29.bmp,us_neg_17.bmp,us_neg_16.bmp,us_neg_15.bmp,yes,no,no,no,no,no,70109,74110,74360,80192
1,cs27.bmp,no,yes,no,us_neu_1.bmp,us_neu_30.bmp,us_neu_22.bmp,us_neu_27.bmp,us_neu_23.bmp,us_neu_5.bmp,no,yes,no,no,no,no,81090,81759,82009,82789
1,cs24.bmp,no,no,yes,us_pos_5.bmp,us_pos_23.bmp,us_pos_15.bmp,us_pos_18.bmp,us_pos_22.bmp,us_pos_32.bmp,no,no,no,no,yes,no,83605,84213,84463,85193
1,cs14.bmp,no,yes,no,us_neu_20.bmp,us_neu_8.bmp,us_neu_35.bmp,us_neu_14.bmp,us_neu_24.bmp,us_neu_12.bmp,no,yes,no,no,no,no,86009,86948,87198,87816
1,cs5.bmp,yes,no,no,us_neg_11.bmp,us_neg_18.bmp,us_neg_4.bmp,us_neg_13.bmp,us_neg_23.bmp,us_neg_27.bmp,yes,no,no,no,no,no,88639,94082,94332,94967
1,cs16.bmp,no,yes,no,us_neu_33.bmp,us_neu_19.bmp,us_neu_11.bmp,us_neu_22.bmp,us_neu_5.bmp,us_neu_29.bmp,no,yes,no,no,no,no,95786,96277,96527,96905
1,cs9.bmp,no,no,yes,us_neg_14.bmp,us_neg_30.bmp,us_neg_20.bmp,us_neg_4.bmp,us_neg_32.bmp,us_neg_1.bmp,no,no,no,no,yes,no,97730,98401,98651,99093
1,cs20.bmp,yes,no,no,us_neu_30.bmp,us_neu_32.bmp,us_neu_14.bmp,us_neu_31.bmp,us_neu_23.bmp,us_neu_11.bmp,no,yes,no,no,no,no,99904,102569,102819,103719
1,cs26.bmp,no,no,yes,us_neg_30.bmp,us_neg_10.bmp,us_neg_16.bmp,us_neg_26.bmp,us_neg_2.bmp,us_neg_18.bmp,no,yes,no,no,no,no,104535,105916,106166,106940
1,cs13.bmp,yes,no,no,us_pos_22.bmp,us_pos_34.bmp,us_pos_18.bmp,us_pos_35.bmp,us_pos_31.bmp,us_pos_4.bmp,yes,no,no,no,no,no,107758,109474,109724,110320
1,cs25.bmp,yes,no,no,us_pos_20.bmp,us_pos_1.bmp,us_pos_36.bmp,us_pos_18.bmp,us_pos_10.bmp,us_pos_12.bmp,no,no,no,yes,no,no,111133,111599,111849,112267
1,cs19.bmp,no,yes,no,us_pos_4.bmp,us_pos_27.bmp,us_pos_16.bmp,us_pos_22.bmp,us_pos_28.bmp,us_pos_20.bmp,no,yes,no,no,no,no,113078,113579,113829,114213
1,cs12.bmp,no,yes,no,us_neg_12.bmp,us_neg_11.bmp,us_neg_31.bmp,us_neg_4.bmp,us_neg_17.bmp,us_neg_8.bmp,no,no,no,no,yes,no,115024,115677,115927,116305
1,cs6.bmp,no,no,yes,us_neg_13.bmp,us_neg_18.bmp,us_neg_15.bmp,us_neg_24.bmp,us_neg_4.bmp,us_neg_21.bmp,no,no,yes,no,no,no,117123,117617,117867,118253
1,cs15.bmp,no,no,yes,us_pos_34.bmp,us_pos_36.bmp,us_pos_5.bmp,us_pos_15.bmp,us_pos_3.bmp,us_pos_35.bmp,no,no,no,no,no,yes,119069,119613,119863,120167
1,cs28.bmp,no,yes,no,us_neg_19.bmp,us_neg_35.bmp,us_neg_1.bmp,us_neg_2.bmp,us_neg_5.bmp,us_neg_8.bmp,no,no,yes,no,no,no,120987,121610,121860,122220
1,cs8.bmp,no,yes,no,us_neg_34.bmp,us_neg_16.bmp,us_neg_6.bmp,us_neg_1.bmp,us_neg_33.bmp,us_neg_2.bmp,no,no,no,yes,no,no,123033,123630,123880,124248
1,cs17.bmp,yes,no,no,us_pos_20.bmp,us_pos_26.bmp,us_pos_19.bmp,us_pos_5.bmp,us_pos_16.bmp,us_pos_4.bmp,no,no,no,no,yes,no,125067,125706,125956,126277
1,cs22.bmp,no,no,yes,us_pos_29.bmp,us_pos_35.bmp,us_pos_27.bmp,us_pos_9.bmp,us_pos_14.bmp,us_pos_4.bmp,no,no,no,no,no,yes,127090,127660,127910,128239
1,cs29.bmp,yes,no,no,us_neg_28.bmp,us_neg_36.bmp,us_neg_29.bmp,us_neg_23.bmp,us_neg_14.bmp,us_neg_6.bmp,yes,no,no,no,no,no,129058,129729,129979,130339
1,cs4.bmp,no,yes,no,us_pos_15.bmp,us_pos_34.bmp,us_pos_29.bmp,us_pos_33.bmp,us_pos_19.bmp,us_pos_32.bmp,no,yes,no,no,no,no,131155,131771,132021,132365
1,cs2.bmp,no,no,yes,us_pos_7.bmp,us_pos_36.bmp,us_pos_16.bmp,us_pos_32.bmp,us_pos_4.bmp,us_pos_19.bmp,no,no,yes,no,no,no,133177,133887,134137,134499
1,cs23.bmp,no,yes,no,us_neg_1.bmp,us_neg_26.bmp,us_neg_10.bmp,us_neg_16.bmp,us_neg_23.bmp,us_neg_17.bmp,no,no,no,no,yes,no,135313,135851,136101,136421
1,cs10.bmp,no,no,yes,us_pos_18.bmp,us_pos_1.bmp,us_pos_26.bmp,us_pos_5.bmp,us_pos_3.bmp,us_pos_2.bmp,no,no,no,no,no,yes,137233,137741,137991,138361
1,cs11.bmp,no,yes,no,us_neg_8.bmp,us_neg_27.bmp,us_neg_3.bmp,us_neg_30.bmp,us_neg_7.bmp,us_neg_36.bmp,no,yes,no,no,no,no,139162,139664,139914,140252
1,cs30.bmp,no,yes,no,us_neu_34.bmp,us_neu_9.bmp,us_neu_25.bmp,us_neu_5.bmp,us_neu_35.bmp,us_neu_36.bmp,no,yes,no,no,no,no,141080,141731,141982,142400
1,cs7.bmp,no,no,yes,us_neu_15.bmp,us_neu_36.bmp,us_neu_33.bmp,us_neu_16.bmp,us_neu_25.bmp,us_neu_30.bmp,no,no,yes,no,no,no,143243,143871,144121,144515
1,cs21.bmp,no,yes,no,us_pos_27.bmp,us_pos_11.bmp,us_pos_30.bmp,us_pos_36.bmp,us_pos_4.bmp,us_pos_12.bmp,no,no,no,no,yes,no,145326,146051,146301,146711
1,cs3.bmp,no,no,yes,us_pos_7.bmp,us_pos_16.bmp,us_pos_31.bmp,us_pos_22.bmp,us_pos_5.bmp,us_pos_9.bmp,no,no,no,no,no,yes,147533,148191,148441,148835
1,cs1.bmp,no,yes,no,us_neg_32.bmp,us_neg_4.bmp,us_neg_11.bmp,us_neg_2.bmp,us_neg_14.bmp,us_neg_8.bmp,no,yes,no,no,no,no,149647,150283,150533,150895
subject_nr,cs_filename_usmem,valmem_response_angenehm,valmem_response_unangenehm,valmem_response_neu,usmem_option_1,usmem_option_2,usmem_option_3,usmem_option_4,usmem_option_5,usmem_option_6,usmem_resp1,usmem_resp2,usmem_resp3,usmem_resp4,usmem_resp5,usmem_resp6,time_valmem_form,time_valmem_delay,time_usmem_form,time_usmem_delay
