subject_nr,block,trialnr,trial_target,trial_prime,prime_color,prime_role,prime_us,prime_relation,correct_response,target_valence,prime_valence,color_counter,correct_first_response,response_first_response,response_time_first_response,fixation_show,prime_show,target_show
48,second,46,lustig,IAT_red4.bmp,red,ending_melody,melody,ending,m,positive,negative,ES_green,1,m,542,1789847,1790351,1790555
48,second,47,sonnig,IAT_purple2.bmp,purple,starting_scream,scream,starting,m,positive,negative,ES_green,1,m,503,1792173,1792677,1792882
48,second,48,heiter,IAT_green1.bmp,green,ending_scream,scream,ending,m,positive,positive,ES_green,1,m,660,1794459,1794963,1795167
48,second,49,morsch,IAT_red3.bmp,red,ending_melody,melody,ending,c,negative,negative,ES_green,1,c,556,1796901,1797405,1797609
48,second,50,ehrlich,IAT_green4.bmp,green,ending_scream,scream,ending,m,positive,positive,ES_green,1,m,571,1799240,1799744,1799948
48,second,51,lästig,IAT_purple1.bmp,purple,starting_scream,scream,starting,c,negative,negative,ES_green,0,m,432,1801595,1802099,1802303
48,second,52,gesund,IAT_red3.bmp,red,ending_melody,melody,ending,m,positive,negative,ES_green,1,m,480,1804311,1804815,1805019
48,second,53,teuer,IAT_red4.bmp,red,ending_melody,melody,ending,c,negative,negative,ES_green,1,c,657,1806575,1807080,1807284
48,second,54,sozial,IAT_green3.bmp,green,ending_scream,scream,ending,m,positive,positive,ES_green,1,m,655,1809016,1809521,1809726
48,second,55,streng,IAT_green2.bmp,green,ending_scream,scream,ending,c,negative,positive,ES_green,1,c,504,1811456,1811960,1812164
48,second,56,munter,IAT_red3.bmp,red,ending_melody,melody,ending,m,positive,negative,ES_green,1,m,815,1813742,1814247,1814451
48,second,57,schön,IAT_red3.bmp,red,ending_melody,melody,ending,m,positive,negative,ES_green,1,m,505,1816340,1816844,1817048
48,second,58,krank,IAT_yellow1.bmp,yellow,starting_melody,melody,starting,c,negative,positive,ES_green,1,c,593,1818629,1819140,1819348
48,second,59,morsch,IAT_green2.bmp,green,ending_scream,scream,ending,c,negative,positive,ES_green,1,c,461,1821015,1821519,1821724
48,second,60,lustig,IAT_red2.bmp,red,ending_melody,melody,ending,m,positive,negative,ES_green,1,m,552,1823261,1823765,1823969
48,second,61,lästig,IAT_yellow4.bmp,yellow,starting_melody,melody,starting,c,negative,positive,ES_green,1,c,611,1825597,1826101,1826305
48,second,62,feige,IAT_green4.bmp,green,ending_scream,scream,ending,c,negative,positive,ES_green,1,c,637,1827991,1828495,1828699
48,second,63,schön,IAT_green3.bmp,green,ending_scream,scream,ending,m,positive,positive,ES_green,1,m,542,1830411,1830915,1831119
48,second,64,geizig,IAT_purple3.bmp,purple,starting_scream,scream,starting,c,negative,negative,ES_green,1,c,485,1832738,1833242,1833446
48,second,65,feige,IAT_red2.bmp,red,ending_melody,melody,ending,c,negative,negative,ES_green,1,c,666,1835007,1835511,1835715
48,second,66,brutal,IAT_purple3.bmp,purple,starting_scream,scream,starting,c,negative,negative,ES_green,1,c,479,1837457,1837961,1838165
48,second,67,lästig,IAT_green1.bmp,green,ending_scream,scream,ending,c,negative,positive,ES_green,1,c,665,1839719,1840223,1840427
48,second,68,sanft,IAT_green4.bmp,green,ending_scream,scream,ending,m,positive,positive,ES_green,1,m,496,1842168,1842672,1842876
