US	CS	Time	PCName	timeStamp
p73.wav	67b.png	153	methexp32	2017-07-28_09.50.26.548000
p21.wav	72b.png	153	methexp32	2017-07-28_09.50.26.548000
p45.wav	81b.png	153	methexp32	2017-07-28_09.50.26.548000
n46.wav	98b.png	153	methexp32	2017-07-28_09.50.26.548000
n14.wav	98b.png	153	methexp32	2017-07-28_09.50.26.548000
n25.wav	12b.png	153	methexp32	2017-07-28_09.50.26.548000
n11.wav	16b.png	153	methexp32	2017-07-28_09.50.26.548000
neu7.wav	29.png	170	methexp32	2017-07-28_09.50.26.548000
n25.wav	99.png	153	methexp32	2017-07-28_09.50.26.548000
p89.wav	72b.png	153	methexp32	2017-07-28_09.50.26.548000
neu5.wav	50.png	158	methexp32	2017-07-28_09.50.26.548000
n50.wav	16b.png	153	methexp32	2017-07-28_09.50.26.548000
neu3.wav	29.png	170	methexp32	2017-07-28_09.50.26.548000
n45.wav	02b.png	153	methexp32	2017-07-28_09.50.26.548000
neu3.wav	50.png	158	methexp32	2017-07-28_09.50.26.548000
p91.wav	67b.png	153	methexp32	2017-07-28_09.50.26.548000
neu8.wav	29.png	170	methexp32	2017-07-28_09.50.26.548000
n11.wav	02b.png	153	methexp32	2017-07-28_09.50.26.548000
neu5.wav	29.png	170	methexp32	2017-07-28_09.50.26.548000
n50.wav	68b.png	153	methexp32	2017-07-28_09.50.26.548000
neu9.wav	50.png	158	methexp32	2017-07-28_09.50.26.548000
n50.wav	98b.png	153	methexp32	2017-07-28_09.50.26.548000
p22.wav	20b.png	153	methexp32	2017-07-28_09.50.26.548000
p53.wav	14b.png	153	methexp32	2017-07-28_09.50.26.548000
p91.wav	39b.png	153	methexp32	2017-07-28_09.50.26.548000
neu4.wav	29.png	170	methexp32	2017-07-28_09.50.26.548000
n50.wav	02b.png	153	methexp32	2017-07-28_09.50.26.548000
p45.wav	14b.png	153	methexp32	2017-07-28_09.50.26.548000
p73.wav	14b.png	153	methexp32	2017-07-28_09.50.26.548000
p21.wav	77b.png	153	methexp32	2017-07-28_09.50.26.548000
n40.wav	02b.png	153	methexp32	2017-07-28_09.50.26.548000
p21.wav	39b.png	153	methexp32	2017-07-28_09.50.26.548000
n46.wav	16b.png	153	methexp32	2017-07-28_09.50.26.548000
n45.wav	12b.png	153	methexp32	2017-07-28_09.50.26.548000
p22.wav	39b.png	153	methexp32	2017-07-28_09.50.26.548000
p53.wav	67b.png	153	methexp32	2017-07-28_09.50.26.548000
p23.wav	70b.png	153	methexp32	2017-07-28_09.50.26.548000
n31.wav	99.png	153	methexp32	2017-07-28_09.50.26.548000
p36.wav	77b.png	153	methexp32	2017-07-28_09.50.26.548000
p53.wav	81b.png	153	methexp32	2017-07-28_09.50.26.548000
p22.wav	67b.png	153	methexp32	2017-07-28_09.50.26.548000
p36.wav	39b.png	153	methexp32	2017-07-28_09.50.26.548000
neu9.wav	29.png	170	methexp32	2017-07-28_09.50.26.548000
p91.wav	72b.png	153	methexp32	2017-07-28_09.50.26.548000
n40.wav	12b.png	153	methexp32	2017-07-28_09.50.26.548000
n31.wav	43.png	153	methexp32	2017-07-28_09.50.26.548000
p91.wav	14b.png	153	methexp32	2017-07-28_09.50.26.548000
p45.wav	67b.png	153	methexp32	2017-07-28_09.50.26.548000
n40.wav	98b.png	153	methexp32	2017-07-28_09.50.26.548000
p21.wav	67b.png	153	methexp32	2017-07-28_09.50.26.548000
neu10.wav	50.png	158	methexp32	2017-07-28_09.50.26.548000
p45.wav	70b.png	153	methexp32	2017-07-28_09.50.26.548000
n40.wav	43.png	153	methexp32	2017-07-28_09.50.26.548000
p73.wav	77b.png	153	methexp32	2017-07-28_09.50.26.548000
n11.wav	43.png	153	methexp32	2017-07-28_09.50.26.548000
p73.wav	39b.png	153	methexp32	2017-07-28_09.50.26.548000
n14.wav	13b.png	153	methexp32	2017-07-28_09.50.26.548000
n11.wav	98b.png	153	methexp32	2017-07-28_09.50.26.548000
p23.wav	20b.png	153	methexp32	2017-07-28_09.50.26.548000
n45.wav	99.png	153	methexp32	2017-07-28_09.50.26.548000
n13.wav	98b.png	153	methexp32	2017-07-28_09.50.26.548000
p53.wav	77b.png	153	methexp32	2017-07-28_09.50.26.548000
n45.wav	68b.png	153	methexp32	2017-07-28_09.50.26.548000
