ParticipantNumber	CS	US	Length	TrialNr	maskTurnsPre	maskTurnsPost	Answer	correctAnswer	computerName	timeStamp
39	20b.png	p45.wav	153	125	180	90	02b.png	0	methexp32	2017-07-25_15.42.30.982000
39	50.png	neu8.wav	170	126	180	0	98b.png	0	methexp32	2017-07-25_15.42.30.982000
39	68b.png	n31.wav	153	127	90	180	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	70b.png	p23.wav	153	128	270	90	02b.png	0	methexp32	2017-07-25_15.42.30.982000
39	68b.png	n11.wav	153	129	0	270	14b.png	0	methexp32	2017-07-25_15.42.30.982000
39	70b.png	p89.wav	153	130	270	0	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	39b.png	n45.wav	153	131	180	0	70b.png	0	methexp32	2017-07-25_15.42.30.982000
39	67b.png	n31.wav	153	132	270	180	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	14b.png	n25.wav	153	133	270	90	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	39b.png	n40.wav	153	134	0	180	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	16b.png	p45.wav	153	135	0	180	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	81b.png	n40.wav	153	136	90	180	70b.png	0	methexp32	2017-07-25_15.42.30.982000
39	98b.png	n11.wav	153	137	270	90	43.png	0	methexp32	2017-07-25_15.42.30.982000
39	02b.png	p23.wav	153	138	90	270	70b.png	0	methexp32	2017-07-25_15.42.30.982000
39	68b.png	n45.wav	153	139	0	270	39b.png	0	methexp32	2017-07-25_15.42.30.982000
39	02b.png	p21.wav	153	140	180	0	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	43.png	p36.wav	153	141	180	0	70b.png	0	methexp32	2017-07-25_15.42.30.982000
39	77b.png	p73.wav	153	142	180	270	13b.png	0	methexp32	2017-07-25_15.42.30.982000
39	14b.png	n40.wav	153	143	180	0	39b.png	0	methexp32	2017-07-25_15.42.30.982000
39	14b.png	n14.wav	153	144	270	0	16b.png	0	methexp32	2017-07-25_15.42.30.982000
39	29.png	neu6.wav	158	145	180	0	29.png	1	methexp32	2017-07-25_15.42.30.982000
39	50.png	neu2.wav	170	146	0	180	50.png	1	methexp32	2017-07-25_15.42.30.982000
39	68b.png	n25.wav	153	147	90	270	43.png	0	methexp32	2017-07-25_15.42.30.982000
39	98b.png	n25.wav	153	148	0	270	98b.png	1	methexp32	2017-07-25_15.42.30.982000
39	72b.png	p36.wav	153	149	180	270	50.png	0	methexp32	2017-07-25_15.42.30.982000
39	70b.png	p91.wav	153	150	180	90	98b.png	0	methexp32	2017-07-25_15.42.30.982000
39	77b.png	p89.wav	153	151	0	270	20b.png	0	methexp32	2017-07-25_15.42.30.982000
39	16b.png	p73.wav	153	152	270	0	13b.png	0	methexp32	2017-07-25_15.42.30.982000
39	72b.png	p45.wav	153	153	0	180	81b.png	0	methexp32	2017-07-25_15.42.30.982000
39	20b.png	p36.wav	153	154	90	270	99.png	0	methexp32	2017-07-25_15.42.30.982000
39	81b.png	n11.wav	153	155	0	180	68b.png	0	methexp32	2017-07-25_15.42.30.982000
39	39b.png	n11.wav	153	156	180	0	13b.png	0	methexp32	2017-07-25_15.42.30.982000
39	81b.png	n50.wav	153	157	270	90	13b.png	0	methexp32	2017-07-25_15.42.30.982000
39	14b.png	n11.wav	153	158	270	180	13b.png	0	methexp32	2017-07-25_15.42.30.982000
39	29.png	neu10.wav	158	159	270	0	29.png	1	methexp32	2017-07-25_15.42.30.982000
39	72b.png	p52.wav	153	160	0	270	43.png	0	methexp32	2017-07-25_15.42.30.982000
