phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,66,2,105,2,NA,NA,NA,9280.JPG,5660.JPG,0,None,None,None,None
trials,66,2,106,2,NA,NA,NA,5780.JPG,empty.png,0,None,None,None,None
trials,66,2,107,2,7,neutral,extinction,empty.png,24.png,0,None,None,None,None
trials,66,2,108,2,7,negative,acquisition,2276.JPG,9.png,1,10,0,0,None
trials,66,2,109,2,NA,NA,NA,25.png,empty.png,0,None,None,None,None
trials,66,2,110,2,7,negative,extinction,empty.png,18.png,1,0,0,0,None
trials,66,2,111,2,7,positive,acquisition,1750.JPG,20.png,0,None,None,None,None
trials,66,2,112,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,113,2,6,positive,acquisition,1721.JPG,1.png,0,None,None,None,None
trials,66,2,114,2,7,neutral,acquisition,7004.JPG,14.png,1,10,0,0,None
trials,66,3,1,2,7,neutral,extinction,empty.png,7.png,0,None,None,None,None
trials,66,3,2,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,3,2,7,positive,extinction,empty.png,26.png,0,None,None,None,None
trials,66,3,4,2,NA,NA,NA,empty.png,25.png,0,None,None,None,None
trials,66,3,5,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,6,2,8,neutral,extinction,empty.png,4.png,0,None,None,None,None
trials,66,3,7,2,NA,NA,NA,19.png,empty.png,0,None,None,None,None
trials,66,3,8,2,8,neutral,acquisition,7705.JPG,11.png,0,None,None,None,None
trials,66,3,9,2,7,positive,acquisition,1721.JPG,1.png,0,None,None,None,None
trials,66,3,10,2,8,neutral,extinction,empty.png,7.png,0,None,None,None,None
trials,66,3,11,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,12,2,NA,NA,NA,15.png,16.png,0,None,None,None,None
trials,66,3,13,2,8,neutral,extinction,empty.png,24.png,0,None,None,None,None
trials,66,3,14,2,NA,NA,NA,5780.JPG,empty.png,0,None,None,None,None
trials,66,3,15,2,8,positive,extinction,empty.png,3.png,0,None,None,None,None
trials,66,3,16,2,7,neutral,acquisition,7025.JPG,21.png,0,None,None,None,None
trials,66,3,17,2,NA,NA,NA,empty.png,19.png,0,None,None,None,None
trials,66,3,18,2,NA,NA,NA,2.png,22.png,0,None,None,None,None
trials,66,3,19,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,20,2,9,neutral,acquisition,7705.JPG,11.png,0,None,None,None,None
trials,66,3,21,2,NA,NA,NA,2.png,22.png,0,None,None,None,None
trials,66,3,22,2,NA,NA,NA,empty.png,25.png,0,None,None,None,None
trials,66,3,23,2,NA,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,66,3,24,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,25,2,NA,NA,NA,5720.JPG,5250.JPG,0,None,None,None,None
trials,66,3,26,2,8,negative,acquisition,2399.JPG,10.png,0,None,None,None,None
trials,66,3,27,2,NA,NA,NA,5611.JPG,empty.png,0,None,None,None,None
trials,66,3,28,2,7,negative,acquisition,2100.JPG,17.png,0,None,None,None,None
trials,66,3,29,2,7,negative,extinction,empty.png,8.png,0,None,None,None,None
trials,66,3,30,2,8,positive,acquisition,1721.JPG,1.png,0,None,None,None,None
trials,66,3,31,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,32,2,NA,NA,NA,empty.png,25.png,0,None,None,None,None
trials,66,3,33,2,9,neutral,extinction,empty.png,7.png,0,None,None,None,None
trials,66,3,34,2,NA,NA,NA,5780.JPG,empty.png,0,None,None,None,None
trials,66,3,35,2,NA,NA,NA,empty.png,5970.JPG,0,None,None,None,None
trials,66,3,36,2,9,negative,acquisition,2399.JPG,10.png,0,None,None,None,None
trials,66,3,37,2,8,neutral,acquisition,7025.JPG,21.png,0,None,None,None,None
trials,66,3,38,2,8,neutral,acquisition,7004.JPG,14.png,0,None,None,None,None
trials,66,3,39,2,8,positive,acquisition,1600.JPG,12.png,0,None,None,None,None
trials,66,3,40,2,8,positive,acquisition,1750.JPG,20.png,0,None,None,None,None
trials,66,3,41,2,NA,NA,NA,empty.png,13.png,0,None,None,None,None
trials,66,3,42,2,9,neutral,extinction,empty.png,24.png,0,None,None,None,None
trials,66,3,43,2,NA,NA,NA,empty.png,5611.JPG,0,None,None,None,None
trials,66,3,44,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,45,2,NA,NA,NA,9000.JPG,5870.JPG,0,None,None,None,None
trials,66,3,46,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,47,2,8,positive,extinction,empty.png,5.png,0,None,None,None,None
trials,66,3,48,2,8,negative,acquisition,2100.JPG,17.png,0,None,None,None,None
trials,66,3,49,2,8,negative,acquisition,2276.JPG,9.png,0,None,None,None,None
trials,66,3,50,2,9,neutral,acquisition,7004.JPG,14.png,0,None,None,None,None
trials,66,3,51,2,9,neutral,acquisition,7025.JPG,21.png,0,None,None,None,None
trials,66,3,52,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,53,2,9,positive,extinction,empty.png,3.png,0,None,None,None,None
trials,66,3,54,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,55,2,9,negative,acquisition,2276.JPG,9.png,0,None,None,None,None
trials,66,3,56,2,10,neutral,extinction,empty.png,24.png,0,None,None,None,None
trials,66,3,57,2,NA,NA,NA,9280.JPG,5660.JPG,0,None,None,None,None
