Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,list_sub_restudy,list_sub_testsub,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,scale_answer_5.rt,scale_answer_5.duration,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,correct,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,83.26944570010528,,,,,,,,,,,,83.2605202998966,83.75144510017708,,,1,3.020818800199777,,,,,,,,,,,,,,,,,,,83.75145580014214,89.75308849988505,Buch,nachhaltig,"['Buch', 'nachhaltig']",test_sub,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass', 'elegant', 'verspielt', 'glatt', 'nachhaltig']",1,3.020818800199777,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,89.76251559983939,,,,,,,,,,,,89.75362249976024,90.24475339986384,,,1,2.920379600021988,,,,,,,,,,,,,,,,,,,90.24477910017595,96.24541890015826,Kiste,winzig,"['Kiste', 'winzig']",test_sub,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass', 'elegant', 'verspielt', 'glatt', 'nachhaltig', 'winzig']",1,2.920379600021988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,96.25488719996065,,,,,,,,,,,,96.24594409996644,96.73684469982982,,,1,1.916194099932909,,,,,,,,,,,,,,,,,,,96.73685629991814,102.74311419995502,Ring,breit,"['Ring', 'breit']",test_sub,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass', 'elegant', 'verspielt', 'glatt', 'nachhaltig', 'winzig', 'breit']",1,1.916194099932909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,102.75251730019227,,,,,,,,,,,,102.74366729985923,103.23457610001788,,,1,2.2024106001481414,,,,,,,,,,,,,,,,,,,103.2345862002112,109.23770149983466,Vase,strahlend,"['Vase', 'strahlend']",restudy,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass', 'elegant', 'verspielt', 'glatt', 'nachhaltig', 'winzig', 'breit', 'strahlend']",1,2.2024106001481414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,109.24717660015449,,,,,,,,,,,,109.23821950005367,109.72916659992188,,,2,2.8917442997917533,,,,,,,,,,,,,,,,,,,109.72917710011825,115.73281880002469,Stift,dick,"['Stift', 'dick']",test_sub,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass', 'elegant', 'verspielt', 'glatt', 'nachhaltig', 'winzig', 'breit', 'strahlend', 'dick']",2,2.8917442997917533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,115.74229290010408,,,,,,,,,,,,115.73334390018135,116.2242196998559,,,1,1.7815887001343071,,,,,,,,,,,,,,,,,,,116.22422980004922,122.22985079977661,Kamera,kalt,"['Kamera', 'kalt']",restudy,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass', 'elegant', 'verspielt', 'glatt', 'nachhaltig', 'winzig', 'breit', 'strahlend', 'dick', 'kalt']",1,1.7815887001343071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,122.23929389985278,,,,,,,,,,,,122.23037749994546,122.72154519986361,,,1,3.579235500190407,,,,,,,,,,,,,,,,,,,122.72155580017716,128.7254459001124,Blume,glänzend,"['Blume', 'glänzend']",test_sub,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass', 'elegant', 'verspielt', 'glatt', 'nachhaltig', 'winzig', 'breit', 'strahlend', 'dick', 'kalt', 'glänzend']",1,3.579235500190407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,128.73479889985174,,,,,,,,,,,,128.72597949998453,129.21699049975723,,,1,3.1806638003326952,,,,,,,,,,,,,,,,,,,129.21700040018186,135.2212991998531,Brille,robust,"['Brille', 'robust']",test_sub,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass', 'elegant', 'verspielt', 'glatt', 'nachhaltig', 'winzig', 'breit', 'strahlend', 'dick', 'kalt', 'glänzend', 'robust']",1,3.1806638003326952,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,135.23077630018815,,,,,,,,,,,,135.22182800015435,135.71416250010952,,,1,2.738965699914843,,,,,,,,,,,,,,,,,,,135.7141730999574,141.71561719989404,Eimer,lang,"['Eimer', 'lang']",restudy,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass', 'elegant', 'verspielt', 'glatt', 'nachhaltig', 'winzig', 'breit', 'strahlend', 'dick', 'kalt', 'glänzend', 'robust', 'lang']",1,2.738965699914843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,141.72515669977292,,,,,,,,,,,,141.7161542000249,142.20733579993248,,,3,1.638010200113058,,,,,,,,,,,,,,,,,,,142.20734620001167,148.21640679985285,Hut,nass,"['Hut', 'nass']",restudy,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass', 'elegant', 'verspielt', 'glatt', 'nachhaltig', 'winzig', 'breit', 'strahlend', 'dick', 'kalt', 'glänzend', 'robust', 'lang', 'nass']",3,1.638010200113058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,148.2258174000308,,,,,,,,,,,,148.21693779993802,148.7079606000334,,,2,3.193408699706197,,,,,,,,,,,,,,,,,,,148.70797180011868,154.7155544999987,Hammer,schlicht,"['Hammer', 'schlicht']",restudy,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass', 'elegant', 'verspielt', 'glatt', 'nachhaltig', 'winzig', 'breit', 'strahlend', 'dick', 'kalt', 'glänzend', 'robust', 'lang', 'nass', 'schlicht']",2,3.193408699706197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,17,0,17,0,,,,,,,,,,,,,,,,,154.72511480003595,,,,,,,,,,,,154.7160860002041,155.20712199993432,,,3,2.5738548999652267,,,,,,,,,,,,,,,,,,,155.20713200001046,161.21312330011278,Bürste,sauber,"['Bürste', 'sauber']",test_sub,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass', 'elegant', 'verspielt', 'glatt', 'nachhaltig', 'winzig', 'breit', 'strahlend', 'dick', 'kalt', 'glänzend', 'robust', 'lang', 'nass', 'schlicht', 'sauber']",3,2.5738548999652267,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
