ECOsub7 [12-2013]
  4   1
 27   2   1   1 SINOLOGIE
Stimuli
StimNr, wort, istwort, uspositiv
  3  22               zefill    1   2   4 
  3  23              misukor    1   2  21 
  3  24              kantikt    1   2   0 
  3  25              W02.bmp    0   0   4 
  3  26              M13.bmp    0   0  16 
  3  27              W16.bmp    0   0  22 
  3  28          Wneu05_.bmp    0   0  17 
  3  29              W07.bmp    0   1   0 
  3  30             M02_.bmp    0   1   6 
  3  31              M18.bmp    0   1   5 
  3  32          Mneu24_.bmp    0   1  23 
  3  33          Wneu03_.bmp    0   2   9 
  3  34          Mneu01_.bmp    0   2   2 
  3  35              M14.bmp    0   2  18 
  3  36              M07.bmp    0   2  21 
  3  37              W15.bmp    1   0   6 
  3  38             M16_.bmp    1   0   9 
  3  39          Mneu05_.bmp    1   0  19 
  3  40              M12.bmp    1   0   2 
  3  41              W12.bmp    1   1   8 
  3  42          Wneu02_.bmp    1   1   5 
  3  43          Mneu25_.bmp    1   1  22 
  3  44              W04.bmp    1   1  13 
  3  45          Mneu18_.bmp    1   2  10 
  3  46              W03.bmp    1   2  23 
  3  47          Wneu01_.bmp    1   2  16 
  3  48          Mneu04_.bmp    1   2   1 
  3  49              cs6.bmp    0   0  13 
  3  50             cs24.bmp    0   0  15 
  3  51           cs7neu.bmp    0   0   8 
  3  52              cs1.bmp    0   0  19 
  3  53             cs19.bmp    0   1  23 
  3  54             cs25.bmp    0   1  10 
  3  55             cs28.bmp    0   1  16 
  3  56             cs15.bmp    0   1  18 
  3  57             cs12.bmp    0   2   2 
  3  58             cs26.bmp    0   2  12 
  3  59              cs8.bmp    0   2  11 
  3  60             cs14.bmp    0   2   4 
  3  61              cs2.bmp    1   0   0 
  3  62             cs20.bmp    1   0  18 
  3  63             cs23.bmp    1   0  21 
  3  64             cs21.bmp    1   0  19 
  3  65             cs13.bmp    1   1   2 
  3  66             cs22.bmp    1   1  17 
  3  67             cs30.bmp    1   1   4 
  3  68          cs16neu.bmp    1   1   5 
  3  69              cs5.bmp    1   2   1 
  3  70             cs27.bmp    1   2  14 
  3  71              cs4.bmp    1   2   3 
  3  72             cs11.bmp    1   2   9 
  4   1               polust    0   0   6 
  4   2              kumutoa    0   0  20 
  4   3               raggun    0   0  21 
  4   4              baigbur    0   0   9 
  4   5               gowann    0   1   3 
  4   6              ompfing    0   1   1 
  4   7              plistuk    0   1  22 
  4   8               novuui    0   1  17 
  4   9              faloilo    0   2   7 
  4  10               orsutz    0   2   0 
  4  11               doscho    0   2  14 
  4  12               offukt    0   2   5 
  4  13              godacht    1   0  20 
  4  14               plonim    1   0  15 
  4  15              stodeen    1   0  10 
  4  16              emkruas    1   0  13 
  4  17              oesgubi    1   1   8 
  4  18              fanstur    1   1  16 
  4  19               uhnong    1   1  11 
  4  20               kibono    1   1  12 
  4  21               virlog    1   2  22 
  4  22               zefill    1   2   6 
  4  23              misukor    1   2   7 
  4  24              kantikt    1   2  23 
  4  25              W02.bmp    0   0  21 
  4  26              M13.bmp    0   0   0 
  4  27              W16.bmp    0   0  10 
  4  28          Wneu05_.bmp    0   0  19 
  4  29              W07.bmp    0   1   2 
  4  30             M02_.bmp    0   1   7 
  4  31              M18.bmp    0   1  20 
  4  32          Mneu24_.bmp    0   1  12 
  4  33          Wneu03_.bmp    0   2  22 
  4  34          Mneu01_.bmp    0   2   8 
  4  35              M14.bmp    0   2   6 
  4  36              M07.bmp    0   2  13 
  4  37              W15.bmp    1   0  17 
  4  38             M16_.bmp    1   0   6 
  4  39          Mneu05_.bmp    1   0   9 
  4  40              M12.bmp    1   0  18 
  4  41              W12.bmp    1   1  21 
  4  42          Wneu02_.bmp    1   1   4 
  4  43          Mneu25_.bmp    1   1  15 
  4  44              W04.bmp    1   1   7 
  4  45          Mneu18_.bmp    1   2  19 
  4  46              W03.bmp    1   2   2 
  4  47          Wneu01_.bmp    1   2  22 
  4  48          Mneu04_.bmp    1   2  14 
  4  49              cs6.bmp    0   0  23 
  4  50             cs24.bmp    0   0  14 
  4  51           cs7neu.bmp    0   0  15 
  4  52              cs1.bmp    0   0  18 
  4  53             cs19.bmp    0   1   5 
  4  54             cs25.bmp    0   1   9 
  4  55             cs28.bmp    0   1   3 
  4  56             cs15.bmp    0   1   1 
  4  57             cs12.bmp    0   2  11 
  4  58             cs26.bmp    0   2  17 
  4  59              cs8.bmp    0   2   4 
  4  60             cs14.bmp    0   2  16 
  4  61              cs2.bmp    1   0   5 
  4  62             cs20.bmp    1   0   0 
  4  63             cs23.bmp    1   0  12 
  4  64             cs21.bmp    1   0   8 
  4  65             cs13.bmp    1   1  20 
  4  66             cs22.bmp    1   1  13 
  4  67             cs30.bmp    1   1  16 
  4  68          cs16neu.bmp    1   1  11 
  4  69              cs5.bmp    1   2   3 
  4  70             cs27.bmp    1   2   1 
  4  71              cs4.bmp    1   2  10 
  4  72             cs11.bmp    1   2  23 
Darbietung
blocknr trial o[trial] wort - us cs_duration darbietung_ms - sb_response sb_response_korrekt sb_korrekt sb_rt
  1   1   0               polust      8   0  31     17   0   0 11383
  1   2  50           cs7neu.bmp     11   0  31     78  62   0  8511
  1   3  42          Mneu25_.bmp     23   1 101     48  48   1  3204
  1   4   8              faloilo      0   2 1001      8   8   1  2840
  1   5   1              kumutoa      6   0  31     16   1   0  2583
  1   6  43              W04.bmp     12   1 101     49  49   1  1165
  1   7  13               plonim     15   0  31     12  13   0  2048
  1   8  28              W07.bmp     23   1 101     34  34   1  4340
  1   9  51              cs1.bmp     12   0  31     71  63   0  1663
  1  10  18               uhnong     22   1 101     18  18   1  1503
  1  11  17              fanstur      3   1 101     17  17   1  1176
  1  12  53             cs25.bmp     15   1 101     65  65   1  3151
  1  13  26              W16.bmp     17   0  31     32  32   1  3588
  1  14  34              M14.bmp     22   2 1001     40  40   1  4933
  1  15  56             cs12.bmp      7   2 1001     68  68   1  1246
  1  16   3              baigbur      4   0  31      3   3   1  1288
  1  17  58              cs8.bmp      2   2 1001     70  70   1  1239
  1  18  33          Mneu01_.bmp     19   2 1001     39  39   1  2924
  1  19  29             M02_.bmp      5   1 101     35  35   1  4220
  1  20  62             cs23.bmp      1   0  31     82  74   0   806
  1  21  30              M18.bmp     11   1 101     36  36   1  1861
  1  22  45              W03.bmp     18   2 1001     51  51   1  2589
  1  23  35              M07.bmp     18   2 1001     41  41   1   972
  1  24  61             cs20.bmp      0   0  31     78  73   0  1143
  1  25  47          Mneu04_.bmp     14   2 1001     53  53   1   717
  1  26  54             cs28.bmp      8   1 101     66  66   1   758
  1  27  64             cs13.bmp      5   1 101     76  76   1  2847
  1  28   9               orsutz     12   2 1001      9   9   1  2568
  1  29  52             cs19.bmp      6   1 101     64  64   1  1374
  1  30  19               kibono     19   1 101     19  19   1  1784
  1  31  44          Mneu18_.bmp     10   2 1001     50  50   1  2317
  1  32  71             cs11.bmp      6   2 1001     83  83   1  1230
  1  33  23              kantikt      1   2 1001     23  23   1  3632
  1  34  36              W15.bmp     16   0  31     30  42   0  6412
  1  35  10               doscho      9   2 1001     10  10   1  2152
  1  36  14              stodeen      2   0  31     15  14   0   727
  1  37  69             cs27.bmp     14   2 1001     81  81   1  1222
  1  38  40              W12.bmp      4   1 101     46  46   1  2309
  1  39  59             cs14.bmp      9   2 1002     71  71   1  1342
  1  40  15              emkruas      8   0  31     14  15   0   688
  1  41   4               gowann      7   1 101      4   4   1   912
  1  42  66             cs30.bmp     13   1 101     78  78   1   582
  1  43  16              oesgubi     21   1 101     16  16   1  5712
  1  44  68              cs5.bmp     20   2 1001     80  80   1  1159
  1  45  11               offukt     13   2 1001     11  11   1  1023
  1  46  49             cs24.bmp     13   0  31     61  61   1  1983
  1  47  63             cs21.bmp     17   0  31     75  75   1   751
  1  48  32          Wneu03_.bmp      3   2 1001     38  38   1  1484
  1  49  46          Wneu01_.bmp      9   2 1001     52  52   1   597
  1  50  65             cs22.bmp     15   1 101     67  77   0  2736
  1  51  25              M13.bmp      1   0  31     30  31   0   948
  1  52  27          Wneu05_.bmp     14   0  31     46  33   0   772
  1  53  41          Wneu02_.bmp     17   1 101     47  47   1  1701
  1  54  21               zefill      5   2 1001     21  21   1  1191
  1  55  24              W02.bmp      2   0  31     30  30   1  1677
  1  56   2               raggun     20   0  31      5   2   0  1417
  1  57   7               novuui     21   1 101      5   7   0  1054
  1  58  60              cs2.bmp     11   0  31     60  72   0  1023
  1  59  70              cs4.bmp      9   2 1001     82  82   1  2063
  1  60   5              ompfing     16   1 101      5   5   1  2319
  1  61  31          Mneu24_.bmp     10   1 101     37  37   1  1453
  1  62  57             cs26.bmp     18   2 1001     69  69   1  3607
  1  63  39              M12.bmp     20   0  31     38  45   0  5125
  1  64  38          Mneu05_.bmp      6   0  31     31  44   0  6700
  1  65  48              cs6.bmp     10   0  31     74  60   0  1063
  1  66   6              plistuk     15   1 101      5   6   0  8184
  1  67  55             cs15.bmp     20   1 101     67  67   1  1319
  1  68  22              misukor     11   2 1002     22  22   1  5175
  1  69  12              godacht     13   0  31      9  12   0  1128
  1  70  67          cs16neu.bmp      2   1 101     79  79   1  1519
  1  71  20               virlog      7   2 1001     20  20   1  2519
  1  72  37             M16_.bmp      0   0  31     52  43   0   589
  2   1  27          Wneu05_.bmp     22   0  31     32  33   0  1565
  2   2  30              M18.bmp     16   1 101     36  36   1  2036
  2   3   1              kumutoa     23   0  31     10   1   0  1134
  2   4  11               offukt      1   2 1001     11  11   1  3944
  2   5   8              faloilo      5   2 1001      8   8   1  3625
  2   6  32          Wneu03_.bmp     17   2 1001     48  38   0  5860
  2   7  56             cs12.bmp      0   2 1001     68  68   1  2696
  2   8  36              W15.bmp     11   0  31     42  42   1  4724
  2   9  48              cs6.bmp     14   0  31     62  60   0   687
  2  10  24              W02.bmp      5   0  31     33  30   0   764
  2  11  28              W07.bmp     21   1 101     34  34   1  5957
  2  12  18               uhnong     21   1 101      1  18   0   614
  2  13  58              cs8.bmp      9   2 1001     70  70   1  1031
  2  14  53             cs25.bmp      3   1 101     65  65   1  2551
  2  15  41          Wneu02_.bmp      1   1 101     47  47   1  1524
  2  16  12              godacht      7   0  31     19  12   0  1712
  2  17   0               polust      3   0  31     19   0   0   760
  2  18  47          Mneu04_.bmp     10   2 1002     53  53   1  3076
  2  19  60              cs2.bmp     14   0  31     72  72   1  2743
  2  20  37             M16_.bmp      0   0  31     48  43   0   661
  2  21  38          Mneu05_.bmp      9   0  31     43  44   0   836
  2  22   2               raggun      4   0  31     22   2   0   416
  2  23  55             cs15.bmp     13   1 101     67  67   1   903
  2  24  14              stodeen      3   0  31      8  14   0   550
  2  25  39              M12.bmp      7   0  31     36  45   0  1309
  2  26  65             cs22.bmp     22   1 101     81  77   0  3583
  2  27  57             cs26.bmp      1   2 1001     69  69   1  1638
  2  28  10               doscho     17   2 1001     10  10   1  3664
  2  29  54             cs28.bmp      8   1 101     66  66   1  2718
  2  30  21               zefill     19   2 1001     21  21   1  2504
  2  31  45              W03.bmp      8   2 1001     51  51   1  2213
  2  32  62             cs23.bmp      2   0  31     79  74   0  1790
  2  33  71             cs11.bmp      6   2 1001     83  83   1  1639
  2  34  49             cs24.bmp     19   0  31     78  61   0  2943
  2  35   7               novuui     19   1 101      7   7   1  1632
  2  36  68              cs5.bmp     16   2 1001     80  80   1  1319
  2  37   6              plistuk     14   1 101      6   6   1  9087
  2  38  70              cs4.bmp      3   2 1001     82  82   1   903
  2  39  22              misukor     18   2 1001     22  22   1  1831
  2  40  40              W12.bmp     18   1 101     46  46   1  1021
  2  41  31          Mneu24_.bmp     15   1 101     37  37   1  1101
  2  42  19               kibono     12   1 101     19  19   1  1551
  2  43  42          Mneu25_.bmp     13   1 101     48  48   1  1109
  2  44   3              baigbur     21   0  31      3   3   1   576
  2  45  64             cs13.bmp     20   1 101     76  76   1  2790
  2  46  59             cs14.bmp      4   2 1001     68  71   0  7615
  2  47  13               plonim     10   0  31      3  13   0  1039
  2  48   9               orsutz     16   2 1001      9   9   1  1464
  2  49  43              W04.bmp      4   1 101     49  49   1   973
  2  50  34              M14.bmp      7   2 1001     40  40   1  4132
  2  51  23              kantikt      8   2 1001     23  23   1  8096
  2  52   5              ompfing     22   1 101      5   5   1  1376
  2  53  63             cs21.bmp     23   0  31     80  75   0   599
  2  54  52             cs19.bmp     20   1 101     64  64   1  1062
  2  55  35              M07.bmp      6   2 1001     41  41   1   917
  2  56  50           cs7neu.bmp     11   0  31     63  62   0   495
  2  57  46          Wneu01_.bmp     19   2 1001     52  52   1  1382
  2  58  25              M13.bmp     18   0  31     40  31   0   612
  2  59  69             cs27.bmp     21   2 1001     81  81   1  3062
  2  60   4               gowann      0   1 101      4   4   1  1799
  2  61  44          Mneu18_.bmp     17   2 1001     50  50   1   765
  2  62  51              cs1.bmp     10   0  31     79  63   0  1119
  2  63  17              fanstur     16   1 101     17  17   1   843
  2  64  67          cs16neu.bmp     12   1 101     79  79   1  1670
  2  65  66             cs30.bmp      5   1 101     78  78   1  1127
  2  66  29             M02_.bmp      2   1 101     35  35   1  1101
  2  67  20               virlog      4   2 1001     20  20   1  2407
  2  68  61             cs20.bmp     15   0  31     64  73   0  1103
  2  69  33          Mneu01_.bmp     23   2 1001     39  39   1  3580
  2  70  26              W16.bmp     12   0  31     47  32   0   612
  2  71  16              oesgubi     23   1 101     20  16   0  2056
  2  72  15              emkruas     22   0  31      6  15   0  4223
  3   1  42          Mneu25_.bmp     22   1 101     48  48   1  1076
  3   2  37             M16_.bmp      9   0  31     41  43   0   989
  3   3  46          Wneu01_.bmp     16   2 1001     52  52   1   828
  3   4  44          Mneu18_.bmp     10   2 1001     50  50   1  2237
  3   5  60              cs2.bmp      0   0  31     80  72   0 10086
  3   6   7               novuui     10   1 101     20   7   0  2016
  3   7   2               raggun     11   0  31      0   2   0   735
  3   8  65             cs22.bmp     17   1 101     73  77   0   895
  3   9  70              cs4.bmp      3   2 1001     82  82   1  1607
  3  10   0               polust     14   0  31     10   0   0  2391
  3  11  53             cs25.bmp     10   1 101     65  65   1  1199
  3  12  61             cs20.bmp     18   0  31     68  73   0   383
  3  13  41          Wneu02_.bmp      5   1 101     30  47   0 12092
  3  14   3              baigbur      7   0  31     17   3   0   832
  3  15  58              cs8.bmp     11   2 1001     70  70   1   910
  3  16  20               virlog     20   2 1001     20  20   1  4248
  3  17  71             cs11.bmp      9   2 1002     83  83   1  1438
  3  18  25              M13.bmp     16   0  31     46  31   0   589
  3  19  55             cs15.bmp     18   1 101     67  67   1   943
  3  20  21               zefill      4   2 1001     21  21   1  1662
  3  21  10               doscho      3   2 1001     14  10   0   896
  3  22  36              W15.bmp      6   0  31     36  42   0  1188
  3  23  62             cs23.bmp     21   0  31     82  74   0   599
  3  24  34              M14.bmp     18   2 1001     49  40   0   908
  3  25  18               uhnong     17   1 101     18  18   1  1776
  3  26  19               kibono      3   1 101      5  19   0   649
  3  27  63             cs21.bmp     19   0  31     70  75   0   710
