subject_nr,condition,trialnr,cs_filename,us_valenz,cs_type,cs_duration,us_filename,us_duration,postmask_filename,postmask_duration,time_cs_us,time_postmask_us,time_us,perception1_response,perception2_response,perception3_response,perception4_response,perception5_response,perception6_response,time_practice_perception_rating,impression1_response,impression2_response,time_impression_rating,time_practice_trial_logger
14,2,91,nw21.bmp,neg,word,60,2141.jpg,1390,maske_4.bmp,50,2640466,2640536,2640596,no,no,no,yes,no,no,2641987,yes,no,2648538,2649997
14,2,92,cs6.bmp,pos,prod,40,2209.jpg,1410,maske_6.bmp,50,2651806,2651856,2651916,no,yes,no,no,no,no,2653326,no,yes,2656108,2656739
14,2,93,cs28.bmp,pos,prod,50,5830.JPG,1400,maske_6.bmp,50,2658546,2658606,2658666,no,no,yes,no,no,no,2660066,yes,no,2669357,2670607
14,2,94,empty2.png,neg,empty,40,9265.jpg,1410,maske_9.bmp,50,2672426,2672476,2672536,yes,no,no,no,no,no,2673946,yes,no,2676727,2677347
14,2,95,W12.bmp,pos,face,70,1750.JPG,1380,maske_6.bmp,50,2679186,2679266,2679326,no,no,no,no,yes,no,2680706,no,yes,2682567,2683827
14,2,96,cs14.bmp,neg,prod,30,9007.jpg,1420,maske_3.bmp,50,2685625,2685665,2685725,yes,no,no,no,no,no,2687145,yes,no,2690847,2692097
14,2,97,nw30.bmp,pos,word,70,2341.jpg,1380,maske_5.bmp,50,2693956,2694036,2694096,no,no,no,no,yes,no,2695476,no,yes,2702017,2702856
14,2,98,cs2.bmp,neg,prod,70,9000.jpg,1380,maske_1.bmp,50,2704675,2704755,2704815,no,no,no,no,yes,no,2706195,yes,no,2708048,2708877
14,2,99,cs8.bmp,pos,prod,70,5910.JPG,1380,maske_9.bmp,50,2710685,2710765,2710825,no,no,no,yes,no,no,2712205,no,yes,2714987,2715826
14,2,100,empty5.png,pos,empty,30,2550.jpg,1420,maske_4.bmp,50,2717645,2717685,2717745,yes,no,no,no,no,no,2719165,no,yes,2721016,2721846
14,2,101,W16.bmp,neg,face,40,9830.jpg,1410,maske_11.bmp,50,2723654,2723704,2723764,no,yes,no,no,no,no,2725174,yes,no,2727036,2728716
14,2,102,PM04.bmp,pos,face,100,2345.jpg,1400,maske_5.bmp,0,2730535,2723704,2730645,no,no,no,no,no,yes,2732045,no,yes,2734827,2736086
14,2,103,nw7.bmp,neg,word,30,7359.jpg,1420,maske_11.bmp,50,2737924,2737964,2738024,no,yes,no,no,no,no,2739444,yes,no,2743186,2743807
14,2,104,nw8.bmp,pos,word,90,2311.jpg,1360,maske_4.bmp,50,2745615,2745715,2745775,no,no,no,no,yes,no,2747135,no,yes,2750846,2751886
14,2,105,Mneu24_.bmp,pos,face,60,2660.jpg,1390,maske_1.bmp,50,2753694,2753764,2753824,no,no,no,no,no,yes,2755214,yes,no,2757986,2759896
14,2,106,empty4.png,pos,empty,50,2057.jpg,1400,maske_8.bmp,50,2761695,2761755,2761815,no,yes,no,no,no,no,2763215,no,yes,2765066,2765896
14,2,107,nw20.bmp,neg,word,90,9435.jpg,1360,maske_6.bmp,50,2767704,2767804,2767864,no,no,no,no,yes,no,2769224,yes,no,2773856,2774475
14,2,108,nw14.bmp,pos,word,40,2050.jpg,1410,maske_1.bmp,50,2791504,2791553,2791613,yes,no,no,no,no,no,2793024,no,yes,2799525,2800355
14,2,109,W03.bmp,neg,face,30,2900.1.jpg,1420,maske_7.bmp,50,2802194,2802234,2802294,no,no,no,yes,no,no,2803714,yes,no,2807415,2808455
14,2,110,empty4.png,pos,empty,50,7330.JPG,1400,maske_12.bmp,50,2810263,2810323,2810383,yes,no,no,no,no,no,2811783,no,yes,2813635,2815305
14,2,111,M14.bmp,pos,face,50,8420.JPG,1400,maske_4.bmp,50,2817124,2817184,2817244,no,no,no,yes,no,no,2818644,yes,no,2822355,2825494
14,2,112,cs29.bmp,pos,prod,30,2040.jpg,1420,maske_4.bmp,50,2827303,2827343,2827403,yes,no,no,no,no,no,2828823,no,yes,2836254,2836885
14,2,113,cs28.bmp,pos,prod,50,2091.jpg,1400,maske_1.bmp,50,2838693,2838753,2838813,no,no,yes,no,no,no,2840213,no,yes,2843924,2845594
14,2,114,M07.bmp,pos,face,90,2345.jpg,1360,maske_3.bmp,50,2847413,2847513,2847573,no,no,no,no,yes,no,2848934,no,yes,2851715,2852964
14,2,115,Wneu02_.bmp,neg,face,100,9561.jpg,1400,maske_2.bmp,0,2854773,2847513,2854883,no,no,no,no,no,yes,2856283,yes,no,2859105,2859934
14,2,116,nw21.bmp,neg,word,60,7359.jpg,1390,maske_5.bmp,50,2861752,2861822,2861882,no,yes,no,no,no,no,2863272,yes,no,2865134,2866384
14,2,117,nw30.bmp,pos,word,70,1463.jpg,1380,maske_7.bmp,50,2868193,2868273,2868333,no,no,no,yes,no,no,2869713,no,yes,2871574,2872404
14,2,118,empty2.png,neg,empty,40,3220.JPG,1410,maske_2.bmp,50,2874192,2874242,2874302,yes,no,no,no,no,no,2875713,yes,no,2878503,2879544
14,2,119,cs5.bmp,pos,prod,100,4626.jpg,1400,maske_1.bmp,0,2881352,2874242,2881462,no,no,no,no,no,yes,2882862,no,yes,2884715,2885754
14,2,120,nw13.bmp,pos,word,80,8540.JPG,1370,maske_8.bmp,50,2887573,2887663,2887723,no,no,no,no,yes,no,2889093,no,yes,2891874,2893963
14,2,121,PM04.bmp,pos,face,100,2080.jpg,1400,maske_11.bmp,0,2895772,2887663,2895882,no,no,no,no,yes,no,2897282,no,yes,2901035,2901664
14,2,122,nw10.bmp,neg,word,100,9342.jpg,1400,maske_3.bmp,0,2903492,2887663,2903602,no,no,no,no,yes,no,2905002,yes,no,2907784,2908403
14,2,123,nw4.bmp,neg,word,70,9330.jpg,1380,maske_3.bmp,50,2910222,2910302,2910362,no,no,no,yes,no,no,2911742,yes,no,2913604,2915693
14,2,124,nw7.bmp,neg,word,30,9000.jpg,1420,maske_5.bmp,50,2917502,2917542,2917602,no,yes,no,no,no,no,2919022,yes,no,2920883,2921714
14,2,125,nw8.bmp,pos,word,90,1460.JPG,1360,maske_12.bmp,50,2923532,2923632,2923692,no,no,no,no,yes,no,2925052,no,yes,2926904,2927533
14,2,126,nw27.bmp,pos,word,30,2058.jpg,1420,maske_3.bmp,50,2929361,2929401,2929461,no,yes,no,no,no,no,2930882,no,yes,2932743,2933573
14,2,127,cs30.bmp,pos,prod,90,1721.jpg,1360,maske_12.bmp,50,2935462,2935562,2935622,no,no,no,no,yes,no,2936982,no,yes,2940734,2941573
14,2,128,W12.bmp,pos,face,70,2340.JPG,1380,maske_6.bmp,50,2943391,2943471,2943531,no,no,no,no,yes,no,2944912,no,yes,2946763,2947593
14,2,129,cs26.bmp,neg,prod,90,2750.jpg,1360,maske_12.bmp,50,2949401,2949501,2949561,no,no,no,no,no,yes,2950921,yes,no,2952774,2953813
14,2,130,cs14.bmp,neg,prod,30,3220.JPG,1420,maske_9.bmp,50,2955632,2955672,2955732,no,yes,no,no,no,no,2957152,yes,no,2959023,2960063
14,2,131,empty8.png,neg,empty,50,2205.jpg,1400,maske_11.bmp,50,2961891,2961951,2962011,yes,no,no,no,no,no,2963411,yes,no,2966192,2967232
14,2,132,Mneu18_.bmp,pos,face,30,1440.jpg,1420,maske_2.bmp,50,2969031,2969071,2969131,yes,no,no,no,no,no,2970551,no,yes,2973345,2974813
14,2,133,Mneu24_.bmp,pos,face,60,2071.jpg,1390,maske_12.bmp,50,2976711,2976781,2976841,no,no,no,no,no,yes,2978231,no,yes,2985653,2988373
14,2,134,cs6.bmp,pos,prod,40,2091.jpg,1410,maske_8.bmp,50,2990191,2990241,2990301,yes,no,no,no,no,no,2991711,no,yes,2993562,2994392
14,2,135,nw25.bmp,pos,word,50,2080.jpg,1400,maske_3.bmp,50,2996191,2996251,2996311,yes,no,no,no,no,no,2997711,no,yes,2999561,3000392
14,2,136,cs22.bmp,neg,prod,80,3300.jpg,1370,maske_7.bmp,50,3002200,3002290,3002350,no,no,no,yes,no,no,3003720,yes,no,3010232,3015263
14,2,137,M02_.bmp,neg,face,60,9611.jpg,1390,maske_6.bmp,50,3017090,3017160,3017220,no,no,no,no,yes,no,3018610,yes,no,3020462,3021301
14,2,138,empty5.png,pos,empty,30,2345.jpg,1420,maske_12.bmp,50,3023121,3023161,3023221,no,yes,no,no,no,no,3024641,no,yes,3026512,3027142
14,2,139,empty8.png,pos,empty,40,4626.jpg,1410,maske_8.bmp,50,3029050,3029100,3029160,yes,no,no,no,no,no,3030570,no,yes,3032471,3033311
14,2,140,W02.bmp,pos,face,40,2395.jpg,1410,maske_9.bmp,50,3035280,3035330,3035390,no,no,no,yes,no,no,3036800,yes,no,3042372,3044881
14,2,141,cs10.bmp,neg,prod,60,9007.jpg,1390,maske_8.bmp,50,3046690,3046760,3046820,yes,no,no,no,no,no,3048210,yes,no,3050061,3051101
14,2,142,Mneu05_.bmp,neg,face,80,9342.jpg,1370,maske_8.bmp,50,3052910,3053000,3053060,no,no,no,no,no,yes,3054430,yes,no,3056282,3057742
14,2,143,nw11.bmp,pos,word,100,2209.jpg,1400,maske_10.bmp,0,3059560,3053000,3059670,no,no,no,no,no,yes,3061070,no,yes,3062922,3063761
14,2,144,nw5.bmp,neg,word,50,2053.JPG,1400,maske_9.bmp,50,3065580,3065640,3065700,yes,no,no,no,no,no,3067100,yes,no,3070820,3071651
14,2,145,cs17.bmp,neg,prod,50,9180.JPG,1400,maske_5.bmp,50,3073469,3073529,3073589,no,no,yes,no,no,no,3074989,yes,no,3077771,3078601
14,2,146,nw22.bmp,neg,word,40,9265.jpg,1410,maske_12.bmp,50,3080420,3080470,3080530,yes,no,no,no,no,no,3081940,yes,no,3083790,3085041
14,2,147,W16.bmp,neg,face,40,2141.jpg,1410,maske_10.bmp,50,3086879,3086929,3086989,no,yes,no,no,no,no,3088399,yes,no,3090260,3091300
14,2,148,empty7.png,neg,empty,30,3160.JPG,1420,maske_5.bmp,50,3093120,3093160,3093220,no,yes,no,no,no,no,3094640,yes,no,3097421,3098461
