subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals; stepsize; pas_rating;VF_pos;VF_neg
7;1;57;pas_3;positive;N   U   G   Z;maske_2.bmp;maske_1.bmp;Birthday 1.jpg;0.092;-1;-1;17;0.0005;3;yes;no
7;1;58;pas_3;negative;H   E   M   K;maske_1.bmp;maske_2.bmp;Animal carcass 3.jpg;0.092;-1;1;18;0.0005;1;no;yes
7;1;59;pas_3;positive;T   U   G   Z;maske_1.bmp;maske_2.bmp;Excited face 3.jpg;0.0925;1;1;18;0.0005;2;yes;no
7;1;60;pas_5;negative;J   O   B   F;maske_2.bmp;maske_1.bmp;Explosion 6.jpg;0.1205;-1;1;18;0.0005;4;no;yes
7;1;61;pas_5;negative;F   O   R   B;maske_1.bmp;maske_2.bmp;Angry face 5.jpg;0.121;1;1;18;0.0005;5;no;yes
7;1;62;pas_5;positive;V   A   S   P;maske_1.bmp;maske_2.bmp;Mother 6.jpg;0.121;1;-1;19;0.0005;6;yes;no
7;1;63;pas_5;positive;S   P   A   V;maske_1.bmp;maske_2.bmp;Beach 5.jpg;0.1205;-1;-1;19;0.0005;6;yes;no
7;1;64;pas_5;negative;F   R   O   B;maske_2.bmp;maske_1.bmp;Toilet 4.jpg;0.12;-1;-1;19;0.0005;5;no;yes
7;2;1;pas_3;positive;G   U   T   Z;maske_1.bmp;maske_2.bmp;Birthday 1.jpg;0.093;1;1;18;0.0005;3;yes;no
7;2;2;pas_3;negative;L   E   M   K;maske_1.bmp;maske_2.bmp;Angry pose 1.jpg;0.093;1;1;18;0.0005;3;no;yes
7;2;3;pas_5;positive;S   A   P   V;maske_2.bmp;maske_1.bmp;Alcohol 5.jpg;0.12;-1;-1;19;0.0005;6;yes;no
7;2;4;pas_3;positive;T   U   G   Z;maske_2.bmp;maske_1.bmp;Children 1.jpg;0.093;1;1;18;0.0005;2;yes;no
7;2;5;pas_5;negative;J   O   B   F;maske_2.bmp;maske_1.bmp;Prison 2.jpg;0.1195;-1;-1;19;0.0005;6;no;yes
7;2;6;pas_5;positive;S   W   A   P;maske_1.bmp;maske_2.bmp;Yoga 3.jpg;0.119;-1;-1;19;0.0005;6;yes;no
7;2;7;pas_5;positive;W   A   P   S;maske_1.bmp;maske_2.bmp;Mother 5.jpg;0.1185;-1;1;20;0.0005;3;yes;no
7;2;8;pas_3;negative;K   L   E   H;maske_1.bmp;maske_2.bmp;Depressed pose 3.jpg;0.0935;1;-1;19;0.0005;4;no;yes
7;2;9;pas_3;positive;G   U   N   T;maske_2.bmp;maske_1.bmp;Cat 4.jpg;0.093;-1;1;20;0.0005;2;yes;no
7;2;10;pas_3;negative;K   E   L   M;maske_1.bmp;maske_2.bmp;Gun 1.jpg;0.0935;1;1;20;0.0005;1;no;yes
7;2;11;pas_3;negative;H   E   L   K;maske_1.bmp;maske_2.bmp;Animal carcass 3.jpg;0.094;1;1;20;0.0005;2;no;yes
7;2;12;pas_5;negative;B   J   O   F;maske_1.bmp;maske_2.bmp;Cemetery 5.jpg;0.119;1;1;20;0.0005;5;no;yes
7;2;13;pas_3;positive;T   U   N   G;maske_1.bmp;maske_2.bmp;Lake 12.jpg;0.0945;1;-1;21;0.0005;5;yes;no
7;2;14;pas_5;negative;B   O   R   F;maske_1.bmp;maske_2.bmp;Angry face 4.jpg;0.119;1;1;20;0.0005;1;no;yes
7;2;15;pas_5;positive;P   A   W   S;maske_2.bmp;maske_1.bmp;Soup 1.jpg;0.1195;1;-1;21;0.0005;6;yes;no
7;2;16;pas_5;negative;F   O   R   B;maske_2.bmp;maske_1.bmp;Toilet 4.jpg;0.119;-1;-1;21;0.0005;5;no;yes
7;2;17;pas_3;negative;M   E   H   K;maske_2.bmp;maske_1.bmp;Intensity 1.jpg;0.094;-1;1;22;0.0005;2;no;yes
7;2;18;pas_5;negative;J   O   R   F;maske_2.bmp;maske_1.bmp;Destruction 10.jpg;0.119;-1;1;22;0.0005;2;no;yes
7;2;19;pas_5;positive;V   A   S   P;maske_2.bmp;maske_1.bmp;Baby 8.jpg;0.1195;1;-1;23;0.0005;6;yes;no
7;2;20;pas_5;negative;R   O   B   F;maske_2.bmp;maske_1.bmp;Feces 1.jpg;0.119;-1;-1;23;0.0005;6;no;yes
7;2;21;pas_5;negative;J   O   R   B;maske_2.bmp;maske_1.bmp;Gun 5.jpg;0.1185;-1;1;24;0.0005;4;no;yes
7;2;22;pas_3;positive;G   N   U   Z;maske_1.bmp;maske_2.bmp;Present 2.jpg;0.0945;1;1;22;0.0005;3;yes;no
7;2;23;pas_3;negative;H   E   M   K;maske_1.bmp;maske_2.bmp;Flood 1.jpg;0.0945;1;1;22;0.0005;2;no;yes
7;2;24;pas_3;positive;N   U   G   Z;maske_1.bmp;maske_2.bmp;Baby 2.jpg;0.095;1;1;22;0.0005;2;yes;no
7;2;25;pas_3;negative;K   E   H   M;maske_2.bmp;maske_1.bmp;Car crash 1.jpg;0.0955;1;1;22;0.0005;2;no;yes
7;2;26;pas_5;positive;P   S   A   V;maske_1.bmp;maske_2.bmp;Picnic 1.jpg;0.119;1;-1;25;0.0005;6;yes;no
7;2;27;pas_5;negative;F   R   O   B;maske_1.bmp;maske_2.bmp;Flood 2.jpg;0.1185;-1;-1;25;0.0005;6;no;yes
7;2;28;pas_3;positive;Z   U   N   G;maske_2.bmp;maske_1.bmp;Sunset 3.jpg;0.096;1;-1;23;0.0005;5;yes;no
