subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3
2,3,12,ec,4,negative,B   O   L   F,maske_2.bmp,maske_1.bmp,6831.bmp,0.083,no,no,yes,no,no,no,no,no,no
2,3,13,ec,1,positive,S   N   A   D,maske_2.bmp,maske_1.bmp,5910.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,3,14,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,9421.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,3,15,ec,8,negative,F   R   O   L,maske_1.bmp,maske_2.bmp,9432.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,3,16,ec,6,positive,S   N   A   W,maske_1.bmp,maske_2.bmp,8470.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,3,17,ec,8,positive,S   P   A   W,maske_1.bmp,maske_2.bmp,1440.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,3,18,ec,3,positive,S   P   A   D,maske_2.bmp,maske_1.bmp,1999.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,3,19,ec,5,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,2091.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,3,20,ec,1,negative,B   L   O   F,maske_2.bmp,maske_1.bmp,3220.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,4,1,ec,3,positive,S   P   A   D,maske_1.bmp,maske_2.bmp,2160.bmp,0.079,no,no,no,yes,no,no,no,no,no
2,4,2,ec,7,negative,J   O   R   B,maske_1.bmp,maske_2.bmp,9007.bmp,0.079,no,no,yes,no,no,no,no,no,no
2,4,3,ec,6,positive,S   N   A   W,maske_2.bmp,maske_1.bmp,4220.bmp,0.079,no,no,no,yes,no,no,no,no,no
2,4,4,ec,8,negative,F   R   O   L,maske_2.bmp,maske_1.bmp,9006.bmp,0.079,no,no,yes,no,no,no,no,no,no
2,4,5,ec,4,positive,N   A   P   S,maske_2.bmp,maske_1.bmp,7230.bmp,0.079,no,no,yes,no,no,no,no,no,no
2,4,6,ec,4,negative,B   O   L   F,maske_1.bmp,maske_2.bmp,9630.bmp,0.079,no,no,yes,no,no,no,no,no,no
2,4,7,ec,2,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,2208.bmp,0.079,no,yes,no,no,no,no,no,no,no
2,4,8,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,9404.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,4,9,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,8370.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,4,10,ec,8,positive,S   P   A   W,maske_2.bmp,maske_1.bmp,5629.bmp,0.079,no,no,yes,no,no,no,no,no,no
2,4,11,ec,1,positive,S   N   A   D,maske_1.bmp,maske_2.bmp,2791.bmp,0.079,no,no,yes,no,no,no,no,no,no
2,4,12,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,7580.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,4,13,ec,5,negative,J   O   L   F,maske_1.bmp,maske_2.bmp,9500.bmp,0.079,no,yes,no,no,no,no,no,no,no
2,4,14,ec,5,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,8190.bmp,0.079,no,no,no,yes,no,no,no,no,no
2,4,15,ec,1,negative,B   L   O   F,maske_1.bmp,maske_2.bmp,9430.bmp,0.079,no,no,yes,no,no,no,no,no,no
2,4,16,ec,2,negative,F   O   R   B,maske_2.bmp,maske_1.bmp,6570.1.bmp,0.079,no,no,yes,no,no,no,no,no,no
2,4,17,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,9830.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,4,18,ec,6,negative,B   L   O   R,maske_2.bmp,maske_1.bmp,3300.bmp,0.079,yes,no,no,no,no,no,no,no,no
2,4,19,ec,3,negative,F   L   O   R,maske_1.bmp,maske_2.bmp,6838.bmp,0.079,no,no,yes,no,no,no,no,no,no
2,4,20,ec,7,positive,W   A   D   S,maske_1.bmp,maske_2.bmp,7502.bmp,0.079,no,no,yes,no,no,no,no,no,no
2,5,1,ec,2,negative,F   O   R   B,maske_1.bmp,maske_2.bmp,1525.bmp,0.081,no,no,yes,no,no,no,no,no,no
2,5,2,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,7330.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,5,3,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,8200.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,5,4,ec,7,negative,J   O   R   B,maske_2.bmp,maske_1.bmp,2900.bmp,0.081,no,no,no,yes,no,no,no,no,no
2,5,5,ec,6,positive,S   N   A   W,maske_1.bmp,maske_2.bmp,2209.bmp,0.081,no,no,no,yes,no,no,no,no,no
2,5,6,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,2053.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,5,7,ec,6,negative,B   L   O   R,maske_2.bmp,maske_1.bmp,9265.bmp,0.081,no,no,no,yes,no,no,no,no,no
2,5,8,ec,8,negative,F   R   O   L,maske_1.bmp,maske_2.bmp,9435.bmp,0.081,no,no,no,yes,no,no,no,no,no
2,5,9,ec,5,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,2070.bmp,0.081,no,no,yes,no,no,no,no,no,no
2,5,10,ec,4,positive,N   A   P   S,maske_1.bmp,maske_2.bmp,2900.2.bmp,0.081,no,no,no,yes,no,no,no,no,no
2,5,11,ec,3,positive,S   P   A   D,maske_2.bmp,maske_1.bmp,2057.bmp,0.081,no,no,no,yes,no,no,no,no,no
2,5,12,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,2276.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,5,13,ec,2,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,7350.bmp,0.081,no,no,no,yes,no,no,no,no,no
