subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4
50,3,8,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,9630.bmp,0.5,H   Y   V   Z,G   M   U   X,T   E   H   V,K   I   G   M,no,no,yes,no,
50,3,9,ec,1,negative,B   L   O   F,maske_2.bmp,maske_1.bmp,2900.bmp,0.098,S   P   A   W,B   L   O   F,W   A   P   S,F   R   O   B,no,yes,no,no,
50,3,10,ec,5,negative,F   R   O   L,maske_1.bmp,maske_2.bmp,2750.bmp,0.098,J   O   R   F,S   N   A   W,S   P   A   W,F   R   O   L,no,no,no,yes,
50,3,11,ec,2,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,2160.bmp,0.098,B   R   O   F,B   L   O   F,D   W   A   P,S   W   A   P,no,no,yes,no,
50,3,12,ec,7,negative,B   R   O   F,maske_1.bmp,maske_2.bmp,9561.bmp,0.098,S   N   A   D,B   R   O   F,S   W   A   P,B   O   R   F,no,yes,no,no,
50,3,13,ec,8,negative,J   O   R   F,maske_2.bmp,maske_1.bmp,9500.bmp,0.098,N   A   P   S,B   O   L   F,S   W   A   P,J   O   R   F,no,no,no,yes,
50,3,14,ec,2,negative,L   O   B   F,maske_1.bmp,maske_2.bmp,9330.bmp,0.098,S   W   A   D,N   A   P   S,L   O   B   F,B   L   O   F,no,no,yes,no,
50,3,15,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,6020.bmp,0.5,K   I   G   M,G   M   U   X,T   E   H   V,H   Y   V   Z,no,no,no,yes,
50,3,16,ec,7,positive,N   A   P   S,maske_1.bmp,maske_2.bmp,2058.bmp,0.098,S   W   A   D,L   O   B   F,N   A   P   S,J   O   R   F,no,no,yes,no,
50,3,17,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,5830.bmp,0.5,H   Y   V   Z,G   M   U   X,T   E   H   V,K   I   G   M,no,yes,no,no,
50,3,18,ec,8,positive,W   A   P   S,maske_2.bmp,maske_1.bmp,7502.bmp,0.098,N   A   P   S,W   A   P   S,B   R   O   F,F   R   O   L,no,yes,no,no,
50,3,19,ec,4,negative,F   R   O   B,maske_1.bmp,maske_2.bmp,2710.bmp,0.098,D   W   A   P,F   R   O   B,L   O   B   F,W   A   P   S,no,yes,no,no,
50,3,20,ec,4,positive,S   N   A   D,maske_2.bmp,maske_1.bmp,4220.bmp,0.098,B   O   L   F,S   N   A   D,S   P   A   W,J   O   R   F,no,yes,no,no,
50,4,1,ec,4,positive,S   N   A   D,maske_1.bmp,maske_2.bmp,8080.bmp,0.098,B   R   O   F,S   N   A   D,S   W   A   D,B   O   L   F,no,yes,no,no,
