ParticipantNumber	Length	US	CS	Answer	CorrectVariable	Mask1	Mask2	computerName	timeStamp
4	152	n31.wav	03.png	50.png	0	0	180	methexp32	2016-05-30_15.44.39.080000
4	152	n31.wav	22.png	22.png	1	180	270	methexp32	2016-05-30_15.44.39.080000
4	152	p23.wav	04.png	22.png	0	0	90	methexp32	2016-05-30_15.44.39.080000
4	152	p91.wav	14n.png	14n.png	1	0	270	methexp32	2016-05-30_15.44.39.080000
4	152	n11.wav	20.png	08.png	0	180	0	methexp32	2016-05-30_15.44.39.080000
4	152	n30.wav	20.png	14n.png	0	270	90	methexp32	2016-05-30_15.44.39.080000
4	152	n25.wav	51.png	03.png	0	0	270	methexp32	2016-05-30_15.44.39.080000
4	152	n46.wav	22.png	04.png	0	270	180	methexp32	2016-05-30_15.44.39.080000
4	152	p53.wav	08.png	08.png	1	270	0	methexp32	2016-05-30_15.44.39.080000
4	152	p45.wav	14n.png	14n.png	1	0	90	methexp32	2016-05-30_15.44.39.080000
4	152	n25.wav	03.png	03.png	1	0	270	methexp32	2016-05-30_15.44.39.080000
4	152	n14.wav	20.png	04.png	0	90	180	methexp32	2016-05-30_15.44.39.080000
4	152	n31.wav	51.png	51.png	1	270	90	methexp32	2016-05-30_15.44.39.080000
4	152	n46.wav	03.png	51.png	0	0	90	methexp32	2016-05-30_15.44.39.080000
4	152	n46.wav	20.png	04.png	0	90	270	methexp32	2016-05-30_15.44.39.080000
4	158	neu4.wav	MotivationCS33.png	MotivationCS33.png	1	270	180	methexp32	2016-05-30_15.44.39.080000
4	152	n40.wav	51.png	03.png	0	0	180	methexp32	2016-05-30_15.44.39.080000
4	152	n31.wav	20.png	03.png	0	90	0	methexp32	2016-05-30_15.44.39.080000
4	152	p21.wav	08.png	08.png	1	0	90	methexp32	2016-05-30_15.44.39.080000
4	152	p73.wav	14n.png	14n.png	1	180	270	methexp32	2016-05-30_15.44.39.080000
4	152	p53.wav	14n.png	14n.png	1	0	180	methexp32	2016-05-30_15.44.39.080000
4	152	n14.wav	51.png	03.png	0	90	270	methexp32	2016-05-30_15.44.39.080000
4	152	n40.wav	20.png	20.png	1	90	270	methexp32	2016-05-30_15.44.39.080000
4	152	n40.wav	03.png	08.png	0	90	270	methexp32	2016-05-30_15.44.39.080000
4	152	n46.wav	51.png	03.png	0	180	0	methexp32	2016-05-30_15.44.39.080000
4	158	neu10.wav	MotivationCS27.png	MotivationCS27.png	1	180	90	methexp32	2016-05-30_15.44.39.080000
4	152	p22.wav	14n.png	14n.png	1	180	90	methexp32	2016-05-30_15.44.39.080000
4	152	p89.wav	14n.png	14n.png	1	180	270	methexp32	2016-05-30_15.44.39.080000
4	158	neu8.wav	MotivationCS33.png	MotivationCS33.png	1	180	90	methexp32	2016-05-30_15.44.39.080000
4	152	p73.wav	04.png	20.png	0	0	270	methexp32	2016-05-30_15.44.39.080000
4	152	p52.wav	14n.png	14n.png	1	180	270	methexp32	2016-05-30_15.44.39.080000
4	158	neu7.wav	MotivationCS27.png	MotivationCS27.png	1	180	0	methexp32	2016-05-30_15.44.39.080000
4	152	n25.wav	22.png	04.png	0	180	90	methexp32	2016-05-30_15.44.39.080000
4	152	n14.wav	22.png	22.png	1	90	180	methexp32	2016-05-30_15.44.39.080000
4	152	p91.wav	50.png	14n.png	0	90	270	methexp32	2016-05-30_15.44.39.080000
4	152	n11.wav	22.png	08.png	0	90	0	methexp32	2016-05-30_15.44.39.080000
4	152	p45.wav	04.png	51.png	0	90	0	methexp32	2016-05-30_15.44.39.080000
4	152	p89.wav	08.png	14n.png	0	180	0	methexp32	2016-05-30_15.44.39.080000
4	152	n40.wav	22.png	03.png	0	90	270	methexp32	2016-05-30_15.44.39.080000
4	158	neu5.wav	MotivationCS27.png	MotivationCS27.png	1	180	270	methexp32	2016-05-30_15.44.39.080000
4	152	p21.wav	04.png	08.png	0	0	90	methexp32	2016-05-30_15.44.39.080000
4	152	n50.wav	22.png	22.png	1	90	270	methexp32	2016-05-30_15.44.39.080000
4	152	n50.wav	51.png	51.png	1	90	0	methexp32	2016-05-30_15.44.39.080000
4	152	n25.wav	20.png	03.png	0	180	0	methexp32	2016-05-30_15.44.39.080000
4	158	neu9.wav	MotivationCS27.png	MotivationCS27.png	1	270	180	methexp32	2016-05-30_15.44.39.080000
4	158	neu3.wav	MotivationCS27.png	MotivationCS27.png	1	270	180	methexp32	2016-05-30_15.44.39.080000
4	152	n50.wav	03.png	03.png	1	0	90	methexp32	2016-05-30_15.44.39.080000
4	152	n30.wav	22.png	51.png	0	90	270	methexp32	2016-05-30_15.44.39.080000
4	152	p53.wav	04.png	14n.png	0	0	180	methexp32	2016-05-30_15.44.39.080000
4	158	neu7.wav	MotivationCS33.png	MotivationCS33.png	1	90	0	methexp32	2016-05-30_15.44.39.080000
4	158	neu1.wav	MotivationCS33.png	Distractor40.png	0	90	270	methexp32	2016-05-30_15.44.39.080000
4	158	neu10.wav	MotivationCS33.png	MotivationCS33.png	1	0	270	methexp32	2016-05-30_15.44.39.080000
4	152	n11.wav	51.png	14n.png	0	0	180	methexp32	2016-05-30_15.44.39.080000
4	152	n14.wav	03.png	22.png	0	0	270	methexp32	2016-05-30_15.44.39.080000
4	152	p21.wav	50.png	14n.png	0	180	90	methexp32	2016-05-30_15.44.39.080000
4	152	p52.wav	04.png	14n.png	0	0	270	methexp32	2016-05-30_15.44.39.080000
4	152	n13.wav	20.png	20.png	1	0	180	methexp32	2016-05-30_15.44.39.080000
4	152	p53.wav	50.png	14n.png	0	270	180	methexp32	2016-05-30_15.44.39.080000
4	158	neu2.wav	MotivationCS33.png	MotivationCS33.png	1	90	0	methexp32	2016-05-30_15.44.39.080000
4	152	n30.wav	03.png	03.png	1	0	90	methexp32	2016-05-30_15.44.39.080000
4	152	n13.wav	22.png	51.png	0	0	180	methexp32	2016-05-30_15.44.39.080000
4	158	neu2.wav	MotivationCS27.png	MotivationCS27.png	1	270	90	methexp32	2016-05-30_15.44.39.080000
4	152	n45.wav	51.png	03.png	0	180	0	methexp32	2016-05-30_15.44.39.080000
4	158	neu5.wav	MotivationCS33.png	MotivationCS33.png	1	0	90	methexp32	2016-05-30_15.44.39.080000
4	158	neu6.wav	MotivationCS27.png	MotivationCS27.png	1	180	90	methexp32	2016-05-30_15.44.39.080000
4	152	p22.wav	50.png	14n.png	0	90	0	methexp32	2016-05-30_15.44.39.080000
4	158	neu8.wav	MotivationCS27.png	MotivationCS27.png	1	180	0	methexp32	2016-05-30_15.44.39.080000
4	152	p36.wav	50.png	14n.png	0	270	0	methexp32	2016-05-30_15.44.39.080000
4	152	p36.wav	08.png	14n.png	0	180	270	methexp32	2016-05-30_15.44.39.080000
4	152	p73.wav	50.png	14n.png	0	180	0	methexp32	2016-05-30_15.44.39.080000
4	152	p52.wav	50.png	14n.png	0	180	270	methexp32	2016-05-30_15.44.39.080000
4	152	n13.wav	03.png	20.png	0	270	180	methexp32	2016-05-30_15.44.39.080000
4	152	n45.wav	22.png	03.png	0	180	270	methexp32	2016-05-30_15.44.39.080000
4	152	p36.wav	14n.png	14n.png	1	0	180	methexp32	2016-05-30_15.44.39.080000
4	158	neu4.wav	MotivationCS27.png	MotivationCS27.png	1	0	90	methexp32	2016-05-30_15.44.39.080000
4	152	n13.wav	51.png	20.png	0	180	90	methexp32	2016-05-30_15.44.39.080000
4	152	p91.wav	08.png	04.png	0	270	180	methexp32	2016-05-30_15.44.39.080000
4	152	p73.wav	08.png	14n.png	0	270	0	methexp32	2016-05-30_15.44.39.080000
