US	CS	Time	PC_Nummer	PCName	timeStamp
FeaRaFD3	Aero02	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS1	Water3	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD1	Water6	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD5	Water7	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS2	Aero04	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS4	Water6	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD1	Aero08	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD2	Aero07	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS4	Aero02	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS5	Aero03	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD2	Aero02	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD1	Water1	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS1	Aero06	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS5	Aero02	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS2	Aero02	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS3	Aero08	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS1	Water5	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD4	Water3	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD3	Aero03	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD2	Water4	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD5	Water5	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS3	Water8	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS4	Aero03	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD2	Aero08	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS5	Aero08	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD3	Aero07	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD1	Aero06	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD2	Water1	172	3	laborrechner3	2014-12-08_16.12.18.736000
MereExpo	Aero06	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD1	Water3	177	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD5	Water5	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD2	Water7	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD1	Water2	177	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD4	Aero02	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS1	Aero02	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD3	Aero04	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD1	Water7	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS3	Aero06	177	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD3	Aero01	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD4	Aero05	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD3	Water5	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD1	Aero08	173	3	laborrechner3	2014-12-08_16.12.18.736000
