subject_nr,trial_nr,block_nr,learning_condition,cs_set,combination,trial_type,cs_duration,us_valence,task,cs_us_order,cs_position,us_position,masking,cs_code,paired_code,left_stimulus,right_stimulus,left_type,right_type,left_role,right_role,n_color,rest_duration,pre_mask,post_mask,possible_target_trial_short,possible_target_trial_long,target_trial,inter_trial,response_target_response,time_target_clear,time_empty_masking_noyes,time_target_response,time_us_alone_pre,time_us_fixdot,time_us_premask,time_us_cs,time_us_postmask,time_us_alone_post,time_objective_task,obt_1,obt_2,obt_3,obt_4,obt_5,obt_6,obj_1,obj_2,obj_3,obj_4,obj_5,obj_6,time_blank_end
20,181,2,EC_subj,nonword,a,control,1000,pos,none,csfirst,left,right,no,control_1000_pos_none,some us,hesire,1440.png,word,picture,controlcs,us,#000000,600,maske_5.png,maske_8.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,4052232,NA,4053234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4053837
20,182,2,EC_subj,nonword,a,critical,50,pos,objective,usfirst,right,left,yes,cs_50_pos_task,some us,Ruhe,naptor,word,word,us,maskedcs,#969696,0,maske_11.png,maske_8.png,no,no,no,250,NA,NA,NA,NA,4054599,4055502,4056403,4056506,4056558,NA,4056608,babit,seloom,altine,tavoo,naptor,lobee,no,no,yes,no,no,no,4058461
20,183,2,EC_subj,nonword,a,critical,50,neg,objective,csfirst,left,right,yes,cs_50_neg_none,some us,babit,Hass,word,word,maskedcs,us,#969696,1500,maske_6.png,maske_8.png,no,no,no,250,NA,NA,NA,NA,NA,4059198,4060099,4060202,4060254,4060306,4061806,babit,altine,tavoo,naptor,lobee,seloom,yes,no,no,no,no,no,4062780
20,184,2,EC_subj,nonword,a,critical,50,neg,objective,usfirst,right,left,yes,cs_50_neg_task,some us,Gemeinheit,tavoo,word,word,us,maskedcs,#969696,0,maske_1.png,maske_4.png,no,no,no,250,NA,NA,NA,NA,4063547,4064449,4065350,4065453,4065505,NA,4065555,naptor,tavoo,babit,lobee,altine,seloom,no,no,no,no,no,yes,4067461
20,185,2,EC_subj,nonword,a,cs_w_us,50,neutral,none,csfirst,left,right,yes,o_filler_50_neu_none,some us,10_mittel.png,neu7640.png,picture,picture,maskedcs,us,#969696,1500,fmaske_5.png,fmaske_5.png,no,no,no,1000,NA,NA,NA,NA,NA,4068263,4069165,4069268,4069320,4069372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4070874
20,186,2,EC_subj,nonword,a,critical,40,pos,objective,usfirst,right,left,yes,cs_40_pos_task,some us,5831.png,zillie,picture,word,us,maskedcs,#969696,0,maske_2.png,maske_6.png,no,no,no,250,NA,NA,NA,NA,4071746,4072649,4073550,4073653,4073695,NA,4073745,avouco,makan,zillie,roosle,trelle,tafta,no,no,no,no,yes,no,4075301
20,187,2,EC_subj,nonword,a,critical,40,pos,objective,usfirst,left,right,yes,cs_40_pos_task,some us,zillie,Kuss,word,word,maskedcs,us,#969696,0,maske_1.png,maske_12.png,no,no,no,250,NA,NA,NA,NA,4076065,4076967,4077868,4077971,4078013,NA,4078063,zillie,avouco,tafta,trelle,makan,roosle,yes,no,no,no,no,no,4080316
20,188,2,EC_subj,nonword,a,control,1000,neg,none,usfirst,left,right,no,control_1000_neg_none_2,some us,teutos,Mord,word,word,controlcs,us,#000000,0,maske_10.png,maske_3.png,no,no,no,250,NA,NA,NA,NA,4081078,NA,NA,4082080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4083082
20,189,2,EC_subj,nonword,a,cswcs,50,none,objective,csfirst,left,right,yes,filler_50_neu_task,o_filler_1000_neu_none_1,seloom,37_mittel.png,word,picture,maskedcs,controlcs,#969696,1500,maske_11.png,maske_11.png,no,yes_right,no,250,NA,NA,NA,NA,NA,4083913,4084814,4084917,4084969,4085021,4086521,altine,babit,lobee,naptor,seloom,tavoo,no,no,no,no,yes,no,4090572
20,190,2,EC_subj,nonword,a,cswcs,40,none,objective,csfirst,right,left,yes,filler_40_neu_none,filler_1000_neu_none_1,parlic,tafta,word,word,controlcs,maskedcs,#969696,1500,maske_2.png,maske_5.png,no,no,no,250,NA,NA,NA,NA,NA,4091355,4092257,4092360,4092402,4092454,4093955,makan,roosle,tafta,avouco,trelle,zillie,yes,no,no,no,no,no,4094933
20,191,2,EC_subj,nonword,a,critical,50,neg,objective,usfirst,right,left,yes,cs_50_neg_none,some us,6838.png,babit,picture,word,us,maskedcs,#969696,0,maske_8.png,maske_11.png,no,no,no,1000,NA,NA,NA,NA,4095848,4096750,4097651,4097754,4097806,NA,4097856,lobee,altine,naptor,tavoo,seloom,babit,no,yes,no,no,no,no,4099580
20,192,2,EC_subj,nonword,a,cswcs,50,none,none,csfirst,right,left,yes,o_filler_50_neu_none,filler_1000_neu_none_2,minair,10_mittel.png,word,picture,controlcs,maskedcs,#969696,1500,fmaske_3.png,fmaske_12.png,no,yes_left,no,250,NA,NA,NA,NA,NA,4100321,4101223,4101326,4101378,4101430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4102932
20,193,2,EC_subj,nonword,a,critical,40,pos,objective,csfirst,right,left,yes,cs_40_pos_task,some us,Geschenk,zillie,word,word,us,maskedcs,#969696,1500,maske_12.png,maske_12.png,no,no,no,250,NA,NA,NA,NA,NA,4103668,4104569,4104672,4104714,4104766,4106266,avouco,makan,zillie,tafta,roosle,trelle,no,no,no,no,yes,no,4107340
20,194,2,EC_subj,nonword,a,control,1000,pos,none,csfirst,left,right,no,control_1000_pos_none,some us,hesire,1463.png,word,picture,controlcs,us,#000000,600,maske_4.png,maske_1.png,no,no,no,1000,NA,NA,NA,NA,NA,NA,NA,4108156,NA,4109158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4109761
20,195,2,EC_subj,nonword,a,critical,50,pos,objective,csfirst,right,left,yes,cs_50_pos_task,some us,Musik,naptor,word,word,us,maskedcs,#969696,1500,maske_2.png,maske_5.png,no,no,no,250,NA,NA,NA,NA,NA,4110497,4111399,4111502,4111554,4111606,4113106,babit,altine,seloom,lobee,naptor,tavoo,no,no,no,no,yes,no,4114125
20,196,2,EC_subj,nonword,a,cswcs,50,none,none,csfirst,right,left,yes,o_filler_50_neu_none,filler_1000_neu_none_2,minair,10_mittel.png,word,picture,controlcs,maskedcs,#969696,1500,fmaske_11.png,fmaske_5.png,no,yes_left,no,250,NA,NA,NA,NA,NA,4114868,4115769,4115872,4115924,4115976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4117478
20,197,2,EC_subj,nonword,a,us_alone,999,neutral,none,none,none,right,no,none,none,none,neu5731.png,none,picture,none,us,#000000,999,maske_11.png,maske_6.png,no,no,no,1000,NA,NA,NA,NA,NA,NA,NA,4118142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4120145
20,198,2,EC_subj,nonword,a,cswcs,50,none,objective,csfirst,left,right,yes,filler_50_neu_task,o_filler_1000_neu_none_1,seloom,37_mittel.png,word,picture,maskedcs,controlcs,#969696,1500,maske_11.png,maske_6.png,no,yes_right,no,250,NA,NA,NA,NA,NA,4120893,4121794,4121897,4121949,4122001,4123501,tavoo,lobee,babit,naptor,seloom,altine,no,no,no,no,no,yes,4125261
20,199,2,EC_subj,nonword,a,cs_alone,50,none,objective,none,right,none,yes,filler_50_neu_none,none,none,lobee,none,word,none,maskedcs,#969696,999,maske_2.png,maske_8.png,yes_right,no,no,1000,NA,NA,NA,NA,NA,4125908,4126810,4126913,4126965,NA,4127016,tavoo,lobee,babit,altine,naptor,seloom,yes,no,no,no,no,no,4129789
20,200,2,EC_subj,nonword,a,us_w_us,999,neg-pos,none,none,none,both,no,none,none,Neid,8370.png,word,picture,us,us,#000000,999,maske_9.png,maske_1.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,4130494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4132496
20,201,2,EC_subj,nonword,a,control,1000,neg,none,csfirst,left,right,no,control_1000_neg_none_2,some us,teutos,9050.png,word,picture,controlcs,us,#000000,600,maske_10.png,maske_6.png,no,no,no,1000,NA,NA,NA,NA,NA,NA,NA,4133353,NA,4134355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4134958
20,202,2,EC_subj,nonword,a,control,1000,pos,none,csfirst,left,right,no,control_1000_pos_none_2,some us,pubio,2071.png,word,picture,controlcs,us,#000000,600,maske_4.png,maske_8.png,no,no,no,1000,NA,NA,NA,NA,NA,NA,NA,4135732,NA,4136735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4137338
