subject_nr,PAS,blocknr,trialnr,cs_filename,usval,type,cs_kategorie,cs_duration,us_filename,us_duration,premask_filename,premask_duration,postmask_filename,postmask_duration,visopt_15,visopt_14,visopt_13,visopt_12,visopt_11,visopt_10,visopt_9,visopt_8,visopt_7,visopt_6,visopt_5,visopt_4,visopt_3,visopt_2,visopt_1,visopt_15_resp,visopt_14_resp,visopt_13_resp,visopt_12_resp,visopt_11_resp,visopt_10_resp,visopt_9_resp,visopt_8_resp,visopt_7_resp,visopt_6_resp,visopt_5_resp,visopt_4_resp,visopt_3_resp,visopt_2_resp,visopt_1_resp,sicher1_resp,sicher2_resp,sicher3_resp,sicher4_resp,time_gesehen_form,time_sicher_form,time_trial_logger,csdur_A_prod,csdur_A_face,csdur_A_nonw,csdur_B_prod,csdur_B_face,csdur_B_nonw,csdur_C_prod,csdur_C_face,csdur_C_nonw,subjresp_A_prod_1,subjresp_A_prod_2,subjresp_A_prod_3,subjresp_A_prod_4,subjresp_A_face_1,subjresp_A_face_2,subjresp_A_face_3,subjresp_A_face_4,subjresp_A_nonw_1,subjresp_A_nonw_2,subjresp_A_nonw_3,subjresp_A_nonw_4,subjresp_B_prod_1,subjresp_B_prod_2,subjresp_B_prod_3,subjresp_B_prod_4,subjresp_B_face_1,subjresp_B_face_2,subjresp_B_face_3,subjresp_B_face_4,subjresp_B_nonw_1,subjresp_B_nonw_2,subjresp_B_nonw_3,subjresp_B_nonw_4,subjresp_C_prod_1,subjresp_C_prod_2,subjresp_C_prod_3,subjresp_C_prod_4,subjresp_C_face_1,subjresp_C_face_2,subjresp_C_face_3,subjresp_C_face_4,subjresp_C_nonw_1,subjresp_C_nonw_2,subjresp_C_nonw_3,subjresp_C_nonw_4
1,1,7,372,cs16.bmp,neg,product,A,10,3220.JPG,1000,maske_6.bmp,500,maske_8.bmp,990,cs11.bmp,cs20.bmp,cs1.bmp,cs17.bmp,cs16.bmp,M16_.bmp,W20.bmp,W12.bmp,Mneu25_.bmp,Mneu20_.bmp,nw13.bmp,nw29.bmp,nw2.bmp,nw9.bmp,nw5.bmp,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,3089902,3090610,3091502,10,10,10,20,20,10,110,110,150,5,1,0,0,5,0,0,0,6,0,0,0,6,0,0,0,4,0,0,0,5,1,0,0,1,0,0,4,1,0,0,4,0,0,1,5
1,1,7,373,W04.bmp,neg,face,B,20,9830.jpg,1000,maske_9.bmp,500,maske_11.bmp,980,cs24.bmp,cs29.bmp,cs4.bmp,cs2.bmp,cs13.bmp,Mneu05_.bmp,Mneu24_.bmp,W04.bmp,Mneu11_.bmp,M18.bmp,nw10.bmp,nw21.bmp,nw7.bmp,nw16.bmp,nw25.bmp,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,3093992,3094842,3095665,10,10,10,20,20,10,110,110,150,5,1,0,0,5,0,0,0,6,0,0,0,6,0,0,0,5,0,0,0,5,1,0,0,1,0,0,4,1,0,0,4,0,0,1,5
1,1,7,374,M13.bmp,pos,face,A,10,8461.jpg,1000,maske_7.bmp,500,maske_5.bmp,990,nw4.bmp,nw14.bmp,nw19.bmp,nw15.bmp,nw27.bmp,W19.bmp,Mneu04_.bmp,Wneu01_.bmp,Mneu01_.bmp,M13.bmp,cs3.bmp,cs19.bmp,cs18.bmp,cs5.bmp,cs8.bmp,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,3098151,3099036,3099923,10,10,10,20,20,10,110,110,150,5,1,0,0,6,0,0,0,6,0,0,0,6,0,0,0,5,0,0,0,5,1,0,0,1,0,0,4,1,0,0,4,0,0,1,5
1,1,7,375,Mneu05_.bmp,neg,face,B,20,9331.jpg,1000,maske_2.bmp,500,maske_6.bmp,980,Mneu24_.bmp,M18.bmp,W04.bmp,Mneu05_.bmp,Mneu11_.bmp,nw16.bmp,nw10.bmp,nw21.bmp,nw25.bmp,nw7.bmp,cs4.bmp,cs13.bmp,cs29.bmp,cs24.bmp,cs2.bmp,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,3102411,3103282,3104144,10,10,10,20,20,10,110,110,150,5,1,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,5,1,0,0,1,0,0,4,1,0,0,4,0,0,1,5
1,1,7,376,cs14.bmp,pos,product,C,110,2071.jpg,1000,maske_1.bmp,500,maske_12.bmp,890,nw30.bmp,nw6.bmp,nw8.bmp,nw28.bmp,nw18.bmp,W17.bmp,M12.bmp,Wneu03_.bmp,Wneu02_.bmp,Wneu05_.bmp,cs21.bmp,cs26.bmp,cs25.bmp,cs12.bmp,cs14.bmp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,3106641,3108676,3109743,10,10,10,20,20,10,110,110,150,5,1,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,5,1,0,0,1,0,0,5,1,0,0,4,0,0,1,5
1,1,7,377,Wneu03_.bmp,pos,face,C,110,2216.jpg,1000,maske_8.bmp,500,maske_2.bmp,890,cs26.bmp,cs21.bmp,cs14.bmp,cs25.bmp,cs12.bmp,nw28.bmp,nw30.bmp,nw6.bmp,nw18.bmp,nw8.bmp,M12.bmp,W17.bmp,Wneu03_.bmp,Wneu02_.bmp,Wneu05_.bmp,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,3112251,3113383,3114466,10,10,10,20,20,10,110,110,150,5,1,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,5,1,0,0,1,0,0,5,1,0,0,5,0,0,1,5
1,1,8,378,nw17.bmp,neg,nonword,C,140,9220.jpg,1000,maske_7.bmp,500,maske_6.bmp,860,M14.bmp,W07.bmp,M02_.bmp,Mneu18_.bmp,M07.bmp,nw3.bmp,nw1.bmp,nw17.bmp,nw12.bmp,nw22.bmp,cs10.bmp,cs9.bmp,cs7.bmp,cs15.bmp,cs28.bmp,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,3123291,3124509,3125509,10,20,20,30,30,20,100,100,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,8,379,cs15.bmp,neg,product,C,100,9041.jpg,1000,maske_3.bmp,500,maske_10.bmp,900,cs10.bmp,cs7.bmp,cs15.bmp,cs9.bmp,cs28.bmp,nw12.bmp,nw1.bmp,nw3.bmp,nw22.bmp,nw17.bmp,Mneu18_.bmp,M07.bmp,M14.bmp,W07.bmp,M02_.bmp,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,3128011,3129452,3130216,10,20,20,30,30,20,100,100,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,8,380,nw22.bmp,neg,nonword,C,140,3220.JPG,1000,maske_10.bmp,500,maske_4.bmp,860,nw1.bmp,nw17.bmp,nw22.bmp,nw12.bmp,nw3.bmp,M02_.bmp,Mneu18_.bmp,M07.bmp,W07.bmp,M14.bmp,cs28.bmp,cs7.bmp,cs15.bmp,cs10.bmp,cs9.bmp,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,3132701,3133900,3134761,10,20,20,30,30,20,100,100,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
1,1,8,381,M16_.bmp,neg,face,A,20,9320.jpg,1000,maske_10.bmp,500,maske_6.bmp,980,M16_.bmp,Mneu20_.bmp,W12.bmp,W20.bmp,Mneu25_.bmp,cs11.bmp,cs20.bmp,cs16.bmp,cs1.bmp,cs17.bmp,nw2.bmp,nw9.bmp,nw29.bmp,nw13.bmp,nw5.bmp,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,3137251,3138426,3140037,10,20,20,30,30,20,100,100,140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
